cl,subclass_id,subclass_id_label
4511,170,170 PAG-MRN Tfap2b Glut
4515,170,170 PAG-MRN Tfap2b Glut
4516,170,170 PAG-MRN Tfap2b Glut
4471,171,171 PAG Pou4f1 Bnc2 Glut
4477,171,171 PAG Pou4f1 Bnc2 Glut
4496,171,171 PAG Pou4f1 Bnc2 Glut
4498,171,171 PAG Pou4f1 Bnc2 Glut
4499,171,171 PAG Pou4f1 Bnc2 Glut
4504,171,171 PAG Pou4f1 Bnc2 Glut
4512,171,171 PAG Pou4f1 Bnc2 Glut
4483,171,171 PAG Pou4f1 Bnc2 Glut
4497,171,171 PAG Pou4f1 Bnc2 Glut
4500,171,171 PAG Pou4f1 Bnc2 Glut
4507,171,171 PAG Pou4f1 Bnc2 Glut
4474,171,171 PAG Pou4f1 Bnc2 Glut
4476,171,171 PAG Pou4f1 Bnc2 Glut
4492,171,171 PAG Pou4f1 Bnc2 Glut
4493,171,171 PAG Pou4f1 Bnc2 Glut
4494,171,171 PAG Pou4f1 Bnc2 Glut
4505,171,171 PAG Pou4f1 Bnc2 Glut
4597,171,171 PAG Pou4f1 Bnc2 Glut
4598,171,171 PAG Pou4f1 Bnc2 Glut
4599,171,171 PAG Pou4f1 Bnc2 Glut
4601,171,171 PAG Pou4f1 Bnc2 Glut
4602,171,171 PAG Pou4f1 Bnc2 Glut
4622,172,172 PAG Pou4f1 Ebf2 Glut
4623,172,172 PAG Pou4f1 Ebf2 Glut
4625,172,172 PAG Pou4f1 Ebf2 Glut
4626,172,172 PAG Pou4f1 Ebf2 Glut
4627,172,172 PAG Pou4f1 Ebf2 Glut
4637,172,172 PAG Pou4f1 Ebf2 Glut
4638,172,172 PAG Pou4f1 Ebf2 Glut
4639,172,172 PAG Pou4f1 Ebf2 Glut
4645,172,172 PAG Pou4f1 Ebf2 Glut
4644,172,172 PAG Pou4f1 Ebf2 Glut
4607,172,172 PAG Pou4f1 Ebf2 Glut
4629,172,172 PAG Pou4f1 Ebf2 Glut
4630,172,172 PAG Pou4f1 Ebf2 Glut
4631,172,172 PAG Pou4f1 Ebf2 Glut
4632,172,172 PAG Pou4f1 Ebf2 Glut
4633,172,172 PAG Pou4f1 Ebf2 Glut
4635,172,172 PAG Pou4f1 Ebf2 Glut
4636,172,172 PAG Pou4f1 Ebf2 Glut
4641,172,172 PAG Pou4f1 Ebf2 Glut
4603,172,172 PAG Pou4f1 Ebf2 Glut
4606,172,172 PAG Pou4f1 Ebf2 Glut
4612,172,172 PAG Pou4f1 Ebf2 Glut
4618,172,172 PAG Pou4f1 Ebf2 Glut
4619,172,172 PAG Pou4f1 Ebf2 Glut
4640,172,172 PAG Pou4f1 Ebf2 Glut
4624,172,172 PAG Pou4f1 Ebf2 Glut
4604,172,172 PAG Pou4f1 Ebf2 Glut
4610,172,172 PAG Pou4f1 Ebf2 Glut
4611,172,172 PAG Pou4f1 Ebf2 Glut
4615,172,172 PAG Pou4f1 Ebf2 Glut
4616,172,172 PAG Pou4f1 Ebf2 Glut
4617,172,172 PAG Pou4f1 Ebf2 Glut
4628,172,172 PAG Pou4f1 Ebf2 Glut
4608,172,172 PAG Pou4f1 Ebf2 Glut
4634,172,172 PAG Pou4f1 Ebf2 Glut
4609,172,172 PAG Pou4f1 Ebf2 Glut
4613,172,172 PAG Pou4f1 Ebf2 Glut
4614,172,172 PAG Pou4f1 Ebf2 Glut
4620,172,172 PAG Pou4f1 Ebf2 Glut
4605,172,172 PAG Pou4f1 Ebf2 Glut
4621,172,172 PAG Pou4f1 Ebf2 Glut
4642,172,172 PAG Pou4f1 Ebf2 Glut
4643,172,172 PAG Pou4f1 Ebf2 Glut
4600,172,172 PAG Pou4f1 Ebf2 Glut
4668,173,173 PAG Pou4f2 Glut
4669,173,173 PAG Pou4f2 Glut
4670,173,173 PAG Pou4f2 Glut
4672,173,173 PAG Pou4f2 Glut
4674,173,173 PAG Pou4f2 Glut
4680,173,173 PAG Pou4f2 Glut
4681,173,173 PAG Pou4f2 Glut
4682,173,173 PAG Pou4f2 Glut
4666,173,173 PAG Pou4f2 Glut
4667,173,173 PAG Pou4f2 Glut
4671,173,173 PAG Pou4f2 Glut
4673,173,173 PAG Pou4f2 Glut
4897,173,173 PAG Pou4f2 Glut
4676,173,173 PAG Pou4f2 Glut
4675,173,173 PAG Pou4f2 Glut
4649,173,173 PAG Pou4f2 Glut
4654,173,173 PAG Pou4f2 Glut
4655,173,173 PAG Pou4f2 Glut
4658,173,173 PAG Pou4f2 Glut
4665,173,173 PAG Pou4f2 Glut
4683,173,173 PAG Pou4f2 Glut
4684,173,173 PAG Pou4f2 Glut
4685,173,173 PAG Pou4f2 Glut
4686,173,173 PAG Pou4f2 Glut
4648,173,173 PAG Pou4f2 Glut
4650,173,173 PAG Pou4f2 Glut
4651,173,173 PAG Pou4f2 Glut
4652,173,173 PAG Pou4f2 Glut
4679,173,173 PAG Pou4f2 Glut
4653,173,173 PAG Pou4f2 Glut
4656,173,173 PAG Pou4f2 Glut
4657,173,173 PAG Pou4f2 Glut
4659,173,173 PAG Pou4f2 Glut
4886,174,174 PAG Pou4f2 Mesi2 Glut
4887,174,174 PAG Pou4f2 Mesi2 Glut
4898,174,174 PAG Pou4f2 Mesi2 Glut
4899,174,174 PAG Pou4f2 Mesi2 Glut
4900,174,174 PAG Pou4f2 Mesi2 Glut
4888,174,174 PAG Pou4f2 Mesi2 Glut
4889,174,174 PAG Pou4f2 Mesi2 Glut
4890,174,174 PAG Pou4f2 Mesi2 Glut
4902,174,174 PAG Pou4f2 Mesi2 Glut
4895,174,174 PAG Pou4f2 Mesi2 Glut
4884,174,174 PAG Pou4f2 Mesi2 Glut
4903,174,174 PAG Pou4f2 Mesi2 Glut
4705,174,174 PAG Pou4f2 Mesi2 Glut
4892,174,174 PAG Pou4f2 Mesi2 Glut
4904,174,174 PAG Pou4f2 Mesi2 Glut
4909,174,174 PAG Pou4f2 Mesi2 Glut
4910,174,174 PAG Pou4f2 Mesi2 Glut
4901,174,174 PAG Pou4f2 Mesi2 Glut
4880,174,174 PAG Pou4f2 Mesi2 Glut
4908,174,174 PAG Pou4f2 Mesi2 Glut
