marker_set,best_cluster,best_AUROC
4055,Ex_Phox2b_Olig3_6,0.7851548486013816
4325,Ex_Phox2b_Olig3_7,0.8916472825601451
1114,Ex_Phox2b_Pdyn_4,0.999843384128079
3694,Ex_Phox2b_Pdyn_6,0.982721436507836
1629,Ex_Phox2b_Sall1,0.9344019185546808
4227,Ex_Phox2b_Sh2d6,0.9921510127971048
34139,Ex_Phox2b_Shisa3,0.9931018251147692
3521,Ex_Phox2b_Slc39a12_2,0.9855669477251088
4490,Ex_Phox2b_Slc39a12_5,0.9845946548660732
4415,Ex_Phox2b_Slitrk6,0.9862414820159742
3869,Ex_Phox2b_Susd5_1,0.9874429728826224
1447,Ex_Phox2b_Susd5_2,0.9474652539692408
3830,Ex_Phox2b_Tmem100,0.9991726946952528
2273,Ex_Pitx2_Lamp3_1,0.7782388452162393
3543,Ex_Pitx2_Skor2,0.997066837138596
1634,Ex_Pitx2_Zbtb7c_5,0.9948212433332682
64,Ex_Plcg2_Ret_1,0.9951536867181274
502,Ex_Plekhg1_Epha1_Cd44_2,0.8968482129669426
2900,Ex_Plekhg1_Fign_Ppp1r3a_2,0.8715075969338482
4821,Ex_Plekhg1_Fign_Ppp1r3a_3,0.9508935863541896
515,Ex_Plekhg1_Fign_Ppp1r3a_4,0.9925205755101988
5074,Ex_Plekhg1_Fign_Ppp1r3a_5,0.9913367424375708
1570,Ex_Plekhg1_Fign_Ppp1r3a_6,0.9922099234326376
1405,Ex_Plekhg1_Fign_Tnc_2,0.8475766255401374
5035,Ex_Plekhg1_Fign_Tnnt1_1,0.984001293428769
3860,Ex_Plekhg1_Pth2r_Dio2_1,0.9690622007180176
5070,Ex_Plekhg1_Pth2r_Frem3_2,0.9811228373460934
2159,Ex_Plekhg1_Pth2r_Frem3_4,0.780032850301767
5032,Ex_Plekhg1_Pth2r_Rxfp1_1,0.99154500653639
175,Ex_Plekhg1_Pth2r_Rxfp1_2,0.9817601634922052
4213,Ex_Plekhg1_Pth2r_Slc17a8,0.9772879883561342
5073,Ex_Plekhg1_Tspear_Abhd12b,0.982878785426432
246,Ex_Plekhg1_Tspear_C6_2,0.956417415034066
5047,Ex_Plekhg1_Tspear_C6_3,0.993994201172838
2495,Ex_Pou4f1_Cdh3_Lpar1,0.966251108297142
4799,Ex_Pou4f1_Fads2b_2,0.9986420888016276
3603,Ex_Pou4f1_Fads2b_3,0.9847007720706524
2909,Ex_Pou4f1_Gpr151_Col5a3,0.9391808806501876
384,Ex_Pou4f1_Htr5b_10,0.9982104550995284
186,Ex_Pou4f1_Htr5b_11,0.9960070556073434
193,Ex_Pou4f1_Htr5b_13,0.9486623082732578
2145,Ex_Pou4f1_Htr5b_1,0.9598462109623632
559,Ex_Pou4f1_Htr5b_5,0.9964354408638189
4064,Ex_Pou4f1_Htr5b_6,0.992517603442956
922,Ex_Pou4f1_Htr5b_7,0.995676646259686
3163,Ex_Pou4f1_Htr5b_8,0.997151670165447
3813,Ex_Pou4f1_Htr5b_9,0.9981453692460625
5012,Ex_Pou4f1_Scml2,0.9025074054220482
2732,Ex_Pou4f1_Tyrp1,0.933285722389245
4894,Ex_Pou4f2_Gdpd4,0.6932413701446247
4810,Ex_Pou4f2_Hpse2_3,0.9979838474849833
3969,Ex_Pou4f2_Olfr560_2,0.8435711117257453
4672,Ex_Pou4f2_St14_1,0.9636979493965612
4526,Ex_Pou4f3_Wfdc10_1,0.6688051836097475
4660,Ex_Pou4f3_Xdh,0.7498156935105998
4871,Ex_Prox1_Bhlhe23_1,0.8012780685968328
2404,Ex_Prox1_Cmbl,0.9410933145381596
467,Ex_Rorb_Cbln1_Abca8a,0.994777672096525
321,Ex_Rorb_Hc_Sox6,0.6340571467536117
3584,Ex_Rorb_Lcp1,0.9860376369144496
96,Ex_Rorb_Pirt_Fn1,0.966940608947452
34197,Ex_Sall1_Apela,0.7428315023746788
3476,Ex_Sall1_Pmfbp1_2,0.984262949388234
2372,Ex_Sall1_Pmfbp1_3,0.9977161130883136
2759,Ex_Samd3_Chrna2,0.9969702796308616
943,Ex_Samd3_Emx2_1,0.9840902164299428
49,Ex_Samd3_Emx2_3,0.9951602036416548
2034,Ex_Samd3_Emx2_5,0.995770981473756
1726,Ex_Samd3_Emx2_7,0.9843497224203204
2465,Ex_Sim1_Abcc9_3,0.9999294321500344
14881,Ex_Sim1_Adgb_2,0.8866890366226959
2062,Ex_Sim1_Bsx_2,0.995031393235372
1987,Ex_Sim1_Dnah8_Oxt,0.895478243250579
2170,Ex_Sim1_Nkx2-2_Asb4_5,0.9984395876952256
4024,Ex_Sim1_Trh_1,0.9979834544205012
1377,Ex_Sim1_Trh_3,0.9996942098636548
486,Ex_Sim1_Trh_7,0.9971564667452342
2479,Ex_Sim1_Ucn3_2,0.9915580921747555
1124,Ex_Sim1_Ucn3_3,0.962940858921414
166,Ex_Skor1_Calr4,0.9951820669818316
790,Ex_Skor1_Emx2_2,0.984268504844986
110,Ex_Skor1_Frem1_1,0.9886325772207832
168,Ex_Skor1_Frem1_2,0.9915572217261726
3867,Ex_Skor1_Il31ra_2,0.9940814970124382
1160,Ex_Skor1_Kdr_3,0.9958681560153172
4412,Ex_Skor1_Pon2_3,0.9484102421447308
2754,Ex_Skor1_Samd3_1,0.9760105622548462
2752,Ex_Slc12a7_Krt19,0.9608108893268902
439,Ex_Slc12a7_Sp110,0.9793781210163072
3288,Ex_Slc30a3_Best3_2,0.9915872791788196
209,Ex_Slc30a3_Best3_4,0.868857571422669
306,Ex_Slc30a3_Cfap58,0.9357109218112172
480,Ex_Slc30a3_Crlf1_2,0.9661129232268412
220,Ex_Slc30a3_Ebf1_Scn5a,0.9930596472741894
309,Ex_Slc30a3_Gsta2_2,0.6950345971173837
