Zeng_cluster,Macosko_cluster,p_value,Macokso_marker_size,Zeng_marker_size
3174,Ex_Irx3_Ccdc192_3,2.668352727575654e-07,4.0,5.0
4704,Ex_Irx3_Ccdc192_3,8.00606510234552e-08,4.0,3.0
4721,Ex_Irx3_Ccdc192_6,6.669623325249725e-07,6.0,5.0
24472,Ex_Irx3_Ccdc192_7,2.668352727575654e-07,4.0,5.0
4694,Ex_Irx3_Ccdc192_7,1.6011123267262136e-07,4.0,4.0
4998,Ex_Irx3_Ccdc192_7,8.00606510234552e-08,4.0,3.0
4547,Ex_Irx3_Kcnj5_1,4.44683503322212e-07,5.0,5.0
1722,Ex_Irx3_Sostdc1,4.002277374816599e-07,6.0,4.0
80,Ex_Irx4_Slc17a8,1.3343022265138534e-07,3.0,5.0
247,Ex_Lef1_Gpr101,1.3344280981450513e-08,2.0,3.0
1514,Ex_Lhx2_Asb4,2.668352727575654e-07,4.0,5.0
4848,Ex_Lhx2_Asb4,8.00606510234552e-08,4.0,3.0
24717,Ex_Lhx2_Col5a2_2,8.00606510234552e-08,3.0,4.0
4837,Ex_Lhx2_Fn1,1.3344280981450513e-08,3.0,2.0
4422,Ex_Lhx2_Hgf_2,8.00606510234552e-08,4.0,3.0
2758,Ex_Lhx2_Il31ra_2,2.668352727575654e-07,4.0,5.0
516,Ex_Lhx2_Il31ra_2,4.002277374816599e-07,4.0,6.0
3275,Ex_Lhx2_Nek11_3,8.00606510234552e-08,4.0,3.0
4767,Ex_Lhx2_Nek11_3,2.6688561962901027e-08,4.0,2.0
1450,Ex_Lhx2_Pth2,1.6011123267262136e-07,4.0,4.0
1619,Ex_Lhx2_Pth2,1.6011123267262136e-07,4.0,4.0
4724,Ex_Lhx3_Tlcd1_1,4.003158422803956e-08,3.0,3.0
3929,Ex_Lhx3_Tspo2_2,1.3344280981450513e-08,3.0,2.0
3047,Ex_Lhx4_Gpr101_1,8.00606510234552e-08,4.0,3.0
3049,Ex_Lhx4_Gpr101_1,8.00606510234552e-08,4.0,3.0
391,Ex_Lhx4_Gpr101_1,2.6688561962901027e-08,4.0,2.0
3047,Ex_Lhx4_Gpr101_3,4.003158422803956e-08,3.0,3.0
3052,Ex_Lhx4_Gpr101_5,4.003158422803956e-08,3.0,3.0
4780,Ex_Lhx9_Adgrg2_1,1.9719222903941226e-09,8.0,8.0
4777,Ex_Lhx9_Adgrg2_4,8.00606510234552e-08,4.0,3.0
2629,Ex_Lhx9_Atp8b1_1,4.003158422803956e-08,3.0,3.0
1201,Ex_Lhx9_Atp8b1_2,2.0013904039551817e-07,3.0,6.0
2614,Ex_Lhx9_C1ql4,2.5174326239589706e-12,4.0,3.0
24533,Ex_Lhx9_Cd44,1.3343022265138534e-07,3.0,5.0
1490,Ex_Lhx9_Chrm1_1,1.3343022265138534e-07,3.0,5.0
4636,Ex_Lhx9_Igfbpl1_2,4.003158422803956e-08,3.0,3.0
1031,Ex_Lhx9_Npsr1_1,6.669623325249725e-07,6.0,5.0
1201,Ex_Lhx9_Npsr1_1,1.000317667226508e-06,6.0,6.0
1903,Ex_Lhx9_Npsr1_1,1.000317667226508e-06,6.0,6.0
1907,Ex_Lhx9_Npsr1_1,4.002277374816599e-07,6.0,4.0
2723,Ex_Lhx9_Npsr1_1,4.002277374816599e-07,6.0,4.0
950,Ex_Lhx9_Npsr1_1,6.669623325249725e-07,6.0,5.0
4801,Ex_Lhx9_Npsr1_2,1.3344280981450513e-08,3.0,2.0
1160,Ex_Lhx9_Nr5a2,4.002277374816599e-07,4.0,6.0
4852,Ex_Lhx9_Pkhd1,1.6011123267262136e-07,4.0,4.0
1148,Ex_Lhx9_Prok2,8.00606510234552e-08,3.0,4.0
1517,Ex_Lhx9_Qrfprl_2,2.668352727575654e-07,4.0,5.0
4856,Ex_Lhx9_Slc26a7_1,1.3344280981450513e-08,3.0,2.0
3692,Ex_Lhx9_Slc6a2_3,4.003158422803956e-08,3.0,3.0
3381,Ex_Lhx9_Slitrk6,5.602835934044848e-07,7.0,4.0
935,Ex_Lhx9_Slitrk6,9.336591803261916e-07,7.0,5.0
2233,Ex_Lmx1a_Abca8a_1,1.6011123267262136e-07,4.0,4.0
4706,Ex_Lmx1a_Abca8a_1,1.6011123267262136e-07,4.0,4.0
2378,Ex_Lmx1a_Bdnf_4,4.003158422803956e-08,3.0,3.0
2224,Ex_Lmx1a_Crh_Barhl1,8.00606510234552e-08,4.0,3.0
2242,Ex_Lmx1a_Crh_Barhl1,8.00606510234552e-08,4.0,3.0
4636,Ex_Lmx1a_Crhbp_5,4.003158422803956e-08,3.0,3.0
2359,Ex_Lmx1a_Csf2rb2_5,8.00606510234552e-08,4.0,3.0
3538,Ex_Lmx1a_Galnt3_2,8.00606510234552e-08,4.0,3.0
2305,Ex_Lmx1a_Grpr,8.00606510234552e-08,3.0,4.0
996,Ex_Lmx1a_H2-Q10_3,8.00606510234552e-08,3.0,4.0
2200,Ex_Lmx1a_Irx3_1,2.8018584553954155e-07,7.0,3.0
3796,Ex_Lmx1a_Irx3_7,1.6011123267262136e-07,4.0,4.0
4550,Ex_Lmx1a_Irx6_2,1.3343022265138534e-07,5.0,3.0
4607,Ex_Lmx1a_Irx6_2,2.668352727575654e-07,5.0,4.0
2203,Ex_Lmx1a_Irx6_3,1.3343022265138534e-07,5.0,3.0
2207,Ex_Lmx1a_Irx6_3,4.448093660483505e-08,5.0,2.0
