Study_ID|Celltype_1,Study_ID|Celltype_2,best_AUROC,Mean_AUROC,Match_type
Zeng|5212,Macosko|Ex_Dsp_Atf3_2,0.9962159549640645,0.9962159549640645,Reciprocal_top_hit
Zeng|26,Macosko|Ex_Dsp_Atf3_3,0.99140529238301,0.99140529238301,Reciprocal_top_hit
Zeng|4228,Macosko|Ex_Ebf2_6430628N08Rik_6,0.9998586265742334,0.9998586265742334,Reciprocal_top_hit
Zeng|1915,Macosko|Ex_Ebf2_Abcc9_1,0.9928030836986717,0.9928030836986717,Reciprocal_top_hit
Zeng|1115,Macosko|Ex_Ebf2_Abcc9_2,0.9717336223885256,0.9717336223885256,Reciprocal_top_hit
Zeng|4623,Macosko|Ex_Ebf2_Adgrd1_1,0.9974027691836228,0.9974027691836228,Reciprocal_top_hit
Zeng|1071,Macosko|Ex_Ebf2_Adgrd1_2,0.9985061575370096,0.9985061575370096,Reciprocal_top_hit
Zeng|3746,Macosko|Ex_Ebf2_Adgrd1_3,0.9977839010897378,0.9977839010897378,Reciprocal_top_hit
Zeng|1407,Macosko|Ex_Ebf2_C1ql2_2,0.9892530307081524,0.9892530307081524,Reciprocal_top_hit
Zeng|283,Macosko|Ex_Ebf2_C1qtnf7_1,0.9991143970799206,0.9991143970799206,Reciprocal_top_hit
Zeng|5339,Macosko|Ex_Ebf2_C1qtnf7_2,0.9978130844298162,0.9978130844298162,Reciprocal_top_hit
Zeng|5265,Macosko|Ex_Ebf2_Cox8b_1,0.7676350020379253,0.7676350020379253,Reciprocal_top_hit
Zeng|8172,Macosko|Ex_Ebf2_Cox8b_2,0.6565294840772238,0.6565294840772238,Reciprocal_top_hit
Zeng|4935,Macosko|Ex_Ebf2_Ddit4l_1,0.99113885177967,0.99113885177967,Reciprocal_top_hit
Zeng|3987,Macosko|Ex_Ebf2_Ddit4l_3,0.9975272572440153,0.9975272572440153,Reciprocal_top_hit
