,highly_variable,highly_variable_rank,means,variances,variances_norm,highly_variable_nbatches
ENSMUSG00000026504,True,11754.0,0.9753158241533527,2.230774039924696,0.8499387309854369,2
ENSMUSG00000019699,True,16936.0,3.6422171972689164,22.05827565411445,0.7448930718011568,2
ENSMUSG00000063659,True,2863.0,1.1426726855656244,8.071268191139705,1.4837507851674732,2
ENSMUSG00000015962,True,15910.5,0.002217680093611188,0.0023954782840746444,0.7663840446906183,2
ENSMUSG00000015961,True,8912.0,0.7144616173301878,1.5821499693724392,0.9060829501905274,2
ENSMUSG00000102483,True,3890.5,0.006018859511267803,0.011172762954749902,1.2265610290373004,2
ENSMUSG00000091476,True,3520.5,0.6999422030438783,2.0492306639363362,1.2947739393560127,2
ENSMUSG00000026502,True,20200.0,1.299350837464167,2.811340526114961,0.650539488344822,2
ENSMUSG00000026500,True,17032.5,0.44024334364621637,0.6802145491910963,0.7432870726596585,2
ENSMUSG00000039630,True,21094.0,2.717347204918374,9.714298248839253,0.5504617241517801,2
ENSMUSG00000026495,True,5312.0,0.3161344392227848,0.5980569740429141,1.0485608362947756,2
ENSMUSG00000026494,True,1103.0,0.9490103987185264,6.417924088417785,2.567973421104543,2
ENSMUSG00000055067,True,5921.5,2.886384130593666,20.047144299635004,1.0709012376375049,2
ENSMUSG00000026492,True,14341.5,0.27398916863267836,0.3733530600001617,0.7862239876399568,2
ENSMUSG00000038949,True,9807.0,0.4373639097061018,0.7641060527521736,0.8898267968125836,2
ENSMUSG00000038936,True,3341.5,0.48812535265137025,1.4499436113216309,1.4024563501649885,2
ENSMUSG00000087236,True,5087.0,0.01157785216854558,0.021273077426184103,1.0713009295293594,2
ENSMUSG00000026491,True,16569.0,0.6359249737759921,1.0462043368012663,0.7575225110776851,2
ENSMUSG00000026490,True,19049.0,4.5886750154314555,30.966604423460126,0.6205362121733766,2
ENSMUSG00000026489,True,17146.5,0.12163667631053769,0.1484147858663257,0.743970934012135,2
ENSMUSG00000010609,True,14698.5,0.18738296234724752,0.23853340138437706,0.7862536177054181,2
ENSMUSG00000038855,True,1809.0,0.30500757845427934,0.9952797232555829,1.9058763504943388,2
ENSMUSG00000053963,True,1212.5,0.7076381683335163,5.28542389675789,2.467542841794109,2
ENSMUSG00000026496,True,5897.0,0.40952279405917347,0.7959502149525738,1.0254473753277247,2
ENSMUSG00000058729,True,9938.5,0.10695312529584847,0.15140941439164993,0.8733143058815713,2
ENSMUSG00000026497,True,8160.0,0.000502232354177475,0.0006560580750474003,0.9387361055441262,2
ENSMUSG00000026499,True,12947.0,0.5685267882501297,0.9923324580629425,0.841442433562763,2
ENSMUSG00000060743,True,20508.0,1.9652630116521692,7.845665826415667,0.6522265719572344,2
ENSMUSG00000038806,True,15809.0,0.272786722131548,0.3559615218857102,0.7634302649630073,2
ENSMUSG00000066652,True,10083.0,0.006666175952679393,0.010148962990939536,0.8863251394906553,2
ENSMUSG00000026520,True,8320.5,0.21079723824274532,0.32863113435079505,0.9419820103314018,2
ENSMUSG00000038793,True,4513.0,0.02409780418902492,0.09224034256884499,1.6449805092604086,2
ENSMUSG00000026519,True,1887.0,0.2509934591454571,0.9363959049254721,2.0751652180009796,2
ENSMUSG00000038776,True,13222.0,0.06352742254923865,0.08500425074147651,0.8063958925981736,2
ENSMUSG00000038768,True,16061.0,0.003299657099795131,0.003633374084817684,0.7555086807712773,2
ENSMUSG00000026516,True,13776.5,0.9274540511832046,1.9895821020839444,0.8306024491264966,2
ENSMUSG00000062169,True,17005.5,0.4016239950619341,0.5524591617938605,0.7466700029807216,2
ENSMUSG00000038733,True,19170.0,1.2053143378106645,3.0661188766423386,0.7008832924540729,2
ENSMUSG00000026514,True,1202.5,0.7703530726584896,5.6112861937074605,2.4250190399583347,2
ENSMUSG00000050625,True,3512.5,0.0035476964528479084,0.008475780671180851,1.4537448394814874,2
ENSMUSG00000047369,True,2377.0,0.05014939164088446,0.13930747208083535,1.6222086164868323,2
ENSMUSG00000004880,True,14308.5,0.19106615739706367,0.2441018795547314,0.7967697109329048,2
ENSMUSG00000022995,True,9285.0,3.1566747200563485,20.881164810504863,0.9396112223110379,2
ENSMUSG00000026511,True,14584.5,1.4716041093115109,5.576444154375833,0.7569699752581294,2
ENSMUSG00000091013,True,10434.5,0.00016603015855584294,0.0001709728669870524,0.8684546580055624,2
ENSMUSG00000038633,True,9245.0,0.5097878506159328,0.99091714891458,0.9301670949191287,2
ENSMUSG00000047539,True,17053.5,0.6178482775465689,1.0608316340156725,0.7461036548182243,2
ENSMUSG00000026510,True,4673.0,0.3233445029935131,0.6310061500501201,1.1187229778539245,2
ENSMUSG00000026509,True,8248.0,0.3964653445474891,0.671865073212826,0.9295675522906931,2
ENSMUSG00000038599,True,11273.5,0.0009103848964861723,0.001022215312265291,0.8495439996340861,2
ENSMUSG00000043429,True,5766.0,5.313438431330968e-05,7.206587133849828e-05,1.305469333436727,2
ENSMUSG00000038576,True,4344.5,1.5613679654335386,7.0840864211286645,1.148962954074515,2
ENSMUSG00000079164,True,14330.5,0.003580713141541479,0.004148465153574747,0.79350018857518,2
ENSMUSG00000030768,True,5707.5,0.21486681138784644,0.36268765620639637,1.0472708606408963,2
ENSMUSG00000046836,True,12510.0,0.4201215061479678,0.6595843394895083,0.8228985541471945,2
ENSMUSG00000042901,True,11660.5,0.5023077363663561,1.0732445145052885,0.8597109382486423,2
ENSMUSG00000056050,True,15890.0,0.9870216011981626,2.135934060105883,0.7665017707227781,2
ENSMUSG00000072258,True,15156.0,0.20098264292557683,0.25051238244622015,0.7682704099110731,2
ENSMUSG00000053461,True,17648.0,0.003360365204812342,0.0035701315460349324,0.7278838655290717,2
ENSMUSG00000039384,True,2633.5,0.19582659587762383,0.5826741531793309,1.6525974553794271,2
ENSMUSG00000044854,True,16664.5,0.002440868175604288,0.0025878051311028945,0.7458659246348095,2
ENSMUSG00000039377,True,14595.0,0.0037672160138750564,0.004675361825131325,0.7929113697929707,2
ENSMUSG00000026621,True,16019.5,0.005600529781763238,0.006638716004202501,0.7614838330431686,2
ENSMUSG00000073481,True,11203.0,0.38979538173445777,0.6129425857938343,0.8646492882749739,2
ENSMUSG00000039349,True,5720.5,0.10125827902344445,0.2681264708517395,1.22746695569489,2
ENSMUSG00000026620,True,5062.0,1.000524361819359,3.036862211466683,1.0704074213948092,2
ENSMUSG00000039318,True,12142.0,0.9464838528274593,2.2461117053913124,0.8367655736048636,2
ENSMUSG00000026618,True,13589.0,0.4295504334061673,0.6646513591001392,0.8179017435716507,2
ENSMUSG00000026617,True,14375.5,0.44177288021024647,0.7449295080730841,0.7878866886096281,2
ENSMUSG00000026615,True,8663.5,0.7371309467908252,1.5429857846062762,0.9146876257212051,2
ENSMUSG00000026614,True,7082.0,0.12208470922592787,0.19679066290439454,0.9674505011436123,2
ENSMUSG00000039246,True,17105.5,0.10325703125295849,0.12116996926846856,0.7303438958574501,2
ENSMUSG00000039239,True,1893.0,0.2031465969379447,0.7763236958017156,2.017601573585594,2
ENSMUSG00000001305,True,14005.0,0.1692965622881725,0.21008036303183839,0.7834378459143694,2
ENSMUSG00000039224,True,9347.0,3.502845825554491e-05,3.6920665807801476e-05,0.9148837351073953,2
ENSMUSG00000026611,True,4045.0,0.045689416861374406,0.10808125140872119,1.3250005889221965,2
ENSMUSG00000039210,True,11175.5,0.6833510211268939,1.2836511588564095,0.8411493186475207,2
ENSMUSG00000026610,True,801.0,2.2719912447788664,36.014838023893,3.0991136630483895,2
ENSMUSG00000026609,True,3142.5,0.0192347654608041,0.05054945580523588,1.572904102173668,2
ENSMUSG00000026608,True,4094.5,0.787640445183303,2.4916587442366827,1.2345891805358038,2
ENSMUSG00000037624,True,1758.0,1.298876296526313,9.875221068029806,1.9369096996495845,2
ENSMUSG00000026605,True,594.0,0.02631323583430214,0.2220725402486263,3.930336548928235,2
ENSMUSG00000026604,True,3012.0,0.09574437367223208,0.22877638865907401,1.409260488054692,2
ENSMUSG00000026603,True,5667.0,0.4668484044063907,0.9795594617037023,1.019382366760964,2
ENSMUSG00000010175,True,1135.0,0.6096716176710052,4.140360383704298,2.6704345397615272,2
ENSMUSG00000089872,True,5744.0,0.6440008084946851,1.4052625285255913,1.0145871061155016,2
ENSMUSG00000026634,True,19106.0,0.7352714800186314,1.2825402745548775,0.7008446407720659,2
ENSMUSG00000037568,True,8579.5,0.04409858049539707,0.06824040133994434,0.9338619992092867,2
ENSMUSG00000066595,True,8914.0,0.3550808778699668,0.569949670670305,0.9058343820099618,2
ENSMUSG00000057072,True,18779.0,0.008560907861900776,0.009332089681319615,0.7051089574577594,2
ENSMUSG00000026632,True,13026.0,0.22837596233588695,0.29833269977041854,0.8055782295298376,2
ENSMUSG00000062510,True,17300.0,0.004896410435072386,0.005427211283737344,0.737678825768241,2
ENSMUSG00000026630,True,7376.0,0.01594907240855679,0.026116852313400267,0.9550853685591951,2
ENSMUSG00000091017,True,2516.0,0.001787871443664772,0.004795466185431108,1.5765627700735712,2
ENSMUSG00000026628,True,234.0,0.11024378860230771,2.041065427247952,7.63425645147281,2
ENSMUSG00000037499,True,11390.5,1.14778340862874,3.510087262464168,0.8845799251699091,2
ENSMUSG00000026627,True,17486.5,0.12136378568642524,0.14288175137138048,0.7325402030936878,2
ENSMUSG00000026626,True,13474.0,0.7487949500323776,1.571858610093828,0.8319996816303176,2
ENSMUSG00000037474,True,8223.5,0.06817070503766033,0.12000875658133335,0.9355744720885826,2
ENSMUSG00000037461,True,11842.5,0.35535294011837726,0.5537733507218021,0.8448325738192477,2
ENSMUSG00000026623,True,8362.5,2.476052368491807,15.899883667813436,0.9244976697979745,2
ENSMUSG00000026622,True,10644.0,0.0039642510915624965,0.005018324448137078,0.853792988647273,2
ENSMUSG00000037434,True,9908.0,0.18986560432610927,0.3440822887892615,0.9410997590973128,2
ENSMUSG00000049353,True,6233.5,0.0015695352764976086,0.003984035926614402,1.3631462823700984,2
ENSMUSG00000026637,True,12067.0,0.10562878922713967,0.14305204978232877,0.8266533135725864,2
ENSMUSG00000037395,True,11386.5,0.43969898247062345,0.6924460781799461,0.842988366587992,2
ENSMUSG00000058248,True,2024.0,1.6339608949865756,12.317422182449514,1.7750127540364264,2
ENSMUSG00000037375,True,6697.5,0.12203287657486055,0.1959699701127173,0.9944972571070226,2
ENSMUSG00000016262,True,12302.5,0.1261715599213848,0.18478743481206444,0.848755284649643,2
ENSMUSG00000016200,True,3762.0,0.8039015785527377,2.381026507587279,1.2433325413275553,2
ENSMUSG00000016181,True,14665.5,0.18363941421057214,0.23165846469418455,0.7825611333982097,2
ENSMUSG00000026638,True,10765.5,0.0027607395359581324,0.0038913065282007685,0.9193966684044568,2
ENSMUSG00000079144,True,19861.5,0.05474379996288877,0.06242492319325234,0.6751221122268926,2
ENSMUSG00000037318,True,12010.5,0.010102515043302748,0.013064025803819582,0.8337916027868035,2
ENSMUSG00000026639,True,1835.5,0.05468451193050354,0.18358291014825753,2.100098933140681,2
ENSMUSG00000016194,True,2021.5,0.09727260850301624,0.28338568801671454,1.7735303321777016,2
ENSMUSG00000009633,True,7012.0,0.10071202441767554,0.16134318483886304,0.9718545825087141,2
ENSMUSG00000016179,True,4898.5,0.1925180633238788,0.3894492660700248,1.105935978283778,2
ENSMUSG00000026640,True,3045.0,1.7023846096315005,10.743819083279716,1.3966183529923972,2
ENSMUSG00000016494,True,2312.0,0.23982920313097614,0.8668442539526005,1.7424621627883803,2
ENSMUSG00000016493,True,5799.5,0.6084079897073136,1.3443900123455086,1.0302252092076218,2
ENSMUSG00000016481,True,14001.5,0.3623220648992127,0.5309994540360639,0.8132495110716076,2
ENSMUSG00000026616,True,12468.5,0.05307485960215245,0.07263566868956196,0.8198857517347206,2
ENSMUSG00000050530,True,9340.5,0.862910566665783,2.019322777409152,0.8946131055626174,2
ENSMUSG00000026643,True,8659.0,1.5914713751225995,5.851331687330263,0.9237217916855693,2
ENSMUSG00000049950,True,18181.0,0.0854067182689504,0.09708151577128306,0.7007338071338785,2
ENSMUSG00000026644,True,17934.5,0.008112283249580606,0.009146794803498965,0.719548913983221,2
ENSMUSG00000026645,True,9992.0,0.12246647208515891,0.25605350523088205,0.99110026381637,2
ENSMUSG00000026650,True,2612.5,0.02967513945113246,0.07960260363316345,1.5204763800197545,2
ENSMUSG00000026648,True,9257.0,0.25766342195848846,0.3855500885262511,0.8962156783821982,2
ENSMUSG00000026646,True,19244.5,0.056773202093376406,0.06507839962397713,0.6884281528094225,2
ENSMUSG00000109865,True,14566.5,0.3025994902885966,0.40750297576924155,0.7835750012145886,2
ENSMUSG00000051396,True,20438.5,0.041764809464121394,0.04543501579827256,0.6534316715566766,2
ENSMUSG00000039496,True,19992.5,0.01163867861294879,0.012344377589596417,0.6705670637004815,2
ENSMUSG00000026655,True,292.0,0.17960830136592054,2.401405881100522,8.255550003787796,2
ENSMUSG00000026657,True,1872.0,11.2553956843046,542.1137259957432,1.9185855059752712,2
ENSMUSG00000039449,True,14234.0,0.5495763923338799,0.978668111786474,0.7972538718885487,2
ENSMUSG00000048186,True,3150.0,0.17494359944863314,0.39805802714723554,1.3751941388993003,2
ENSMUSG00000026662,True,16008.5,0.18979945260933612,0.23136297277760062,0.7590803724275197,2
ENSMUSG00000026664,True,7650.5,0.3704974230415305,0.6459126797178321,0.9471393688798369,2
ENSMUSG00000026668,True,2232.5,0.012441611346948359,0.03595020221138927,1.7353137699608645,2
ENSMUSG00000026669,True,17031.0,0.012570364598914686,0.014996411140093554,0.7439204125725096,2
ENSMUSG00000026672,True,4259.0,0.2603454658027576,0.502493538809417,1.1708924019844678,2
ENSMUSG00000026676,True,1185.5,0.10758695104725623,0.47259732935332477,2.4609366308488445,2
ENSMUSG00000039145,True,3272.0,3.6050930668267247,38.27029908574631,1.3447490098760277,2
ENSMUSG00000039128,True,18381.5,0.7735973469256374,1.3503236280391058,0.7167439817863072,2
ENSMUSG00000025817,True,15090.5,0.5129109453518182,0.8203672288085402,0.7753906167959003,2
ENSMUSG00000056718,True,20376.5,0.011554657648889882,0.012033673621492423,0.6540035114009288,2
ENSMUSG00000025816,True,17183.0,1.0248438156783592,2.1183539988087876,0.7440180330303605,2
ENSMUSG00000025815,True,8859.5,0.20024089165413847,0.2914763786440635,0.908959055897434,2
