Macosko_cluster,gene
Inh_Gata3_Gda_2,Ttn
Inh_Pax5_Rab38_1,Hs3st4
Inh_Lhx6_Arhgap28_1,Fign
Ex_Tfap2b_Calcr,Tfap2b
Inh_Pou3f1_Npnt,Nrp2
Inh_Lhx6_Pvalb_Tac1,Prss23
Inh_Foxd3_Slc16a12_3,Hnf4g
Inh_Pax2_Smpdl3b_5,Zfp804b
Ex_Ebf2_Tnfaip8_4,Adam12
Inh_Pax2_Fbln2,Prrx1
Ex_Lmx1b_Tex47_2,Fam163a
Inh_Hoxb5_Ikzf1,Hoxd4
Inh_Pax2_Trh_1,Arhgap6
Ex_Nkx2-4_Serpinb1b,Nkx2-4
Inh_Tfap2b_Tspo2,Dcn
Inh_Pax2_Ceacam10,Gm17455
Ex_Tfap2b_Megf11,Hgf
Inh_Pax2_Plscr5,Pax8
Ex_Hoxc6_Epsti1_3,Acvr1c
Ex_Onecut3_Bmpr1b,Bmpr1b
Ex_Tcf7l2_Fbln1_Slc38a11_2,Vwa5b1
Ex_Nxph4_Twist1_1,Fign
Ex_Pax6_Gna14_1,Pax6
Inh_Vip_Crh_Sema5b,Qrfpr
Ex_Hoxc6_Slc7a13_2,Trhr
Ex_Ebf2_Iigp1_1,Reln
Inh_Sall3_Bmper_1,Stmn1
Inh_Six3_Pvalb_Angpt1,Eepd1
Inh_Gata3_Gm11639_1,Tmem163
Inh_Foxp2_Qrfprl_2,Gpr149
Inh_Nkx2-2_Gata2_4,A830018L16Rik
Inh_Lhx1_Edn1,Hmcn1
Ex_Dmrta2_Npy2r,Lmx1a
Inh_Gata3_Arid3c,Hoxd3
Ex_Phox2b_Mdfic2_3,Grpr
Ex_Gabra6_Gabrd,Gabra6
Inh_Lhx6_Sst_Ctsc_7,Spag16
Inh_Lhx6_Ccdc172_1,Lhx8
Inh_Irx4_Vip,Col4a3
Inh_Otx2_Tnni3_1,Ror1
Inh_Pax7_Hpse_4,Pax7
Ex_Lhx3_Slc5a7_5,Zeb2
Ex_Nkx2-4_Csf2rb2,Arhgap24
Ser_Fev_Pth2r,Npas1
Inh_Pax8_Abcc9_1,Adamtsl1
Inh_Sox8_Calcrl_2,6430628N08Rik
Inh_Irx5_Tafa4_4,Dkk2
Ex_Dmrta2_Chrna6_3,Kcnq5
Inh_Lhx6_Car8_6,Il1rapl2
Inh_Sncg_Abcb5,Prox1
Ex_Lmx1a_Qrfprl_1,Barhl1
Ex_Dsp_Atf3_1,Olfm4
Ex_Lhx2_Thbs2,Arid5a
Ex_Vsx2_Ghrh_2,Calcrl
Inh_Lhx6_Serpinb1b_1,Lhx8
