library	region	sub_region	sub_region_tube_id	donor_id	sex	dissectate	brain_struct
pBICCNsMMrMBSNrSNciF015d210126	MB	SNrSNc	SNrSNc	F015	female	MB_L7_L7	MB
pBICCNsMMrTHT1iM013d210222A1	TH	T1	T1	M013	male	TH_T1_T1	TH
pBICCNsMMrTHT1iM013d210222A2	TH	T1	T1	M013	male	TH_T1_T1	TH
pBICCNsMMrTHT1iM018d210331A1	TH	T1	T1	M018	male	TH_T1_T1	TH
pBICCNsMMrTHT1iM018d210331A2	TH	T1	T1	M018	male	TH_T1_T1	TH
pBICCNsMMrTHT2iM013d210224A1	TH	T2	T2	M013	male	TH_T2_T2	TH
pBICCNsMMrTHT2iM013d210224A2	TH	T2	T2	M013	male	TH_T2_T2	TH
pBICCNsMMrTHT2iM013d210224A3	TH	T2	T2	M013	male	TH_T2_T2	TH
pBICCNsMMrTHT2iM018d210331A1	TH	T2	T2	M018	male	TH_T2_T2	TH
pBICCNsMMrTHT2iM018d210331A2	TH	T2	T2	M018	male	TH_T2_T2	TH
pBICCNsMMrTHT2iF019d210331A1	TH	T2	T2	F019	female	TH_T2_T2	TH
pBICCNsMMrTHT2iF019d210331A2	TH	T2	T2	F019	female	TH_T2_T2	TH
pBICCNsMMrTHT2iF018d210405A1	TH	T2	T2	F018	female	TH_T2_T2	TH
pBICCNsMMrTHT2iF018d210405A2	TH	T2	T2	F018	female	TH_T2_T2	TH
pBICCNsMMrTHT3iM013d210224A1	TH	T3	T3	M013	male	TH_T3_T3	TH
pBICCNsMMrTHT3iM013d210224A2	TH	T3	T3	M013	male	TH_T3_T3	TH
pBICCNsMMrTHT3iM013d210224A3	TH	T3	T3	M013	male	TH_T3_T3	TH
pBICCNsMMrTHT3iF019d210409A1	TH	T3	T3	F019	female	TH_T3_T3	TH
pBICCNsMMrTHT3iF019d210409A2	TH	T3	T3	F019	female	TH_T3_T3	TH
pBICCNsMMrTHT3iF018d210405A1	TH	T3	T3	F018	female	TH_T3_T3	TH
pBICCNsMMrTHT3iF018d210405A2	TH	T3	T3	F018	female	TH_T3_T3	TH
pBICCNsMMrTHT4iM013d210226A2	TH	T4	T4	M013	male	TH_T4_T4	TH
