Zeng_cl,gene
65,Pde7b
69,Hs3st4
69,Cpne5
69,Krt80
69,Pde7b
70,Igfbp6
70,Krt80
75,Plekha2
75,Chrm3
75,Urah
75,Mgat4c
75,Arhgap25
60,Rxfp1
60,Trp53i11
61,Rxfp1
61,Sdk1
61,Igfbp4
63,Cxcl12
63,Prdm8
73,Ano3
73,Cdh9
73,Urah
12,Trhr
12,Adam18
12,Slc9a4
13,Chrnb3
15,Nxph3
15,Hpgd
15,Cemip
39,Bmpr1b
39,Cplx3
59,Dpp10
59,Iqgap2
59,Trabd2b
59,Sdk1
59,Slit2
59,Arhgap25
67,Krt80
67,Gpr139
71,Gpr139
53,Ddo
53,Nr4a2
54,Prss35
54,Cenpa
55,Lmo3
55,Sntb1
84,Hmga2
84,Plod2
84,Ly6g6e
85,Krt9
85,Hmga2
85,Pvalb
87,Slc17a7
87,Sostdc1
87,Hmga2
76,Myl4
77,Mafb
77,Cntnap5a
77,Sla2
78,Myzap
78,Prkcq
78,Adgrd1
78,Sgcd
78,Myl4
86,Grp
86,Sla2
86,Npsr1
86,Prkg2
80,Slc17a8
80,Cd24a
80,Ccn3
80,Pcdh19
80,Myl4
81,Slc17a8
81,Stxbp6
81,Lhfp
81,Layn
81,Myl4
82,Hapln1
82,Myl4
82,Dkk2
89,Hapln1
89,Sla2
89,Npsr1
56,Lcp1
56,Myl4
56,Cpa6
56,Trabd2b
79,Slc17a8
79,Layn
79,Trabd2b
79,Clic5
88,Scube2
83,Gadl1
90,Gadl1
91,Fezf2
92,Sdk2
92,Sntb1
93,Pirt
93,Mgp
93,Ly6g6e
94,Pirt
94,Cobll1
94,Fn1
95,Rxfp1
95,Adgrd1
95,Stum
96,Npr3
96,Cntn6
96,Ly6g6e
40,Piezo2
40,Cplx3
41,Nxph3
41,Ddit4l
41,Tmem255b
42,Tmem40
42,Nts
42,Cplx3
2871,Piezo2
2871,Ms4a15
2872,Tfap2c
2874,Ms4a15
2875,Baiap2l2
2875,Gm525
2875,Hpse
2876,Tmem132d
2876,Eomes
2877,Prok2
2877,Sntg2
2877,Eomes
2695,Vmn1r209
2764,Vmn1r209
2764,Cpa6
2764,Trp73
2873,Vdr
2873,Ms4a15
2693,Ms4a15
2694,Tfap2c
2694,Ghrh
2694,Cdhr1
2762,Shisal2b
2762,Cdkn1c
2762,Rspo3
2762,Trp73
2765,Avp
2765,Gcgr
2766,Dsp
2766,Eomes
2767,Lef1
2767,Trp73
2763,Shisal2b
2763,Samd3
1398,Nell1
1398,Thsd7b
1399,Ndst4
1399,Ntn5
1399,Prox1
1399,Dio3
1400,Dcn
1400,Gcnt1
1400,Prox1
1403,Serinc2
1403,Cdh9
1403,Stxbp6
1404,C1ql2
1404,Dsp
1405,Rflnb
1405,Dsp
1401,Egr4
1401,Dsp
1407,C1ql2
1407,Scn9a
