Study_ID|Celltype_1,Study_ID|Celltype_2,cell_count_celltype_1,cell_count_celltype_2
Macosko|Inh_Pax7_P2ry10b_4,Zeng|3001,52,19
Zeng|24593,Macosko|CholEx_Pax2_Shisal2b,93,34
Zeng|4413,Macosko|Inh_Pax2_Chrdl2_2,80,56
Macosko|Inh_Pax5_Oxtr,Zeng|3354,59,127
Zeng|3837,Macosko|Ex_Onecut2_Hmx3_Adamtsl3_2,43,44
Macosko|Ex_Fbxl7_Defa24,Zeng|4050,43,182
Zeng|8175,Macosko|Ex_Ebf2_Fzd9_3,25,57
Zeng|4239,Macosko|Ex_Ebf2_Olfr273_2,98,301
Zeng|2847,Macosko|Ser_Fev_Siglec15,135,82
Zeng|4346,Macosko|Ex_Ebf2_Pla2g5_11,40,114
Zeng|4212,Macosko|Inh_Pax2_Pdyn,56,57
Zeng|3099,Macosko|Ex_Vsx2_Ghrh_3,152,100
Zeng|4382,Macosko|Inh_Hoxc4_Chrdl2_1,166,169
Zeng|992,Macosko|Inh_Pax6_Gpr39_3,47,129
Macosko|NorEx_Phox2b_Gfral_3,Zeng|3965,25,35
Zeng|2267,Macosko|Ex_Otx2_Dynlrb2,103,57
Zeng|3158,Macosko|Inh_Gata3_Pdlim3_4,26,22
Zeng|3325,Macosko|Inh_Six3_Pnliprp2_4,215,21
Zeng|584,Macosko|Chol_Ecel1_Gm7271,65,46
Zeng|568,Macosko|CholInh_Ecel1_Nid1,70,56
Zeng|2264,Macosko|Ex_Slc12a7_Odad1_2,89,86
Zeng|1376,Macosko|Inh_Vip_Trim55_7,169,231
Zeng|586,Macosko|Chol_Ecel1_Sall4,129,33
Zeng|3012,Macosko|Inh_Pax7_Vmn1r207_5,129,36
Zeng|4230,Macosko|Ex_Ebf2_Emilin2,60,131
Zeng|3010,Macosko|Inh_Pax7_Vmn1r207_6,673,180
Macosko|Inh_Pax2_Kirrel2_2,Zeng|4208,65,40
Macosko|Inh_Vip_Trim55_2,Zeng|1374,183,210
Macosko|Ex_Ebf2_Fer1l6_2,Zeng|4334,149,64
Macosko|Inh_Vip_Trim55_5,Zeng|1376,33,169
Zeng|989,Macosko|Inh_Pax6_Eya4_4,142,115
Zeng|2910,Macosko|Ex_Pou4f1_Cdh3_Lpar1,83,359
Macosko|Ex_Pou4f1_Gpr151_Col5a3,Zeng|2909,75,188
Zeng|3474,Macosko|Inh_Otx2_Pcp2,371,755
Zeng|2766,Macosko|Ng_Lhx1_Gcgr,100,36
Zeng|4393,Macosko|Inh_Hoxc4_Fbln2_3,234,57
Zeng|34308,Macosko|Inh_Tfap2b_Postn_2,45,109
