set,cluster_id
Songpeng et al.,468
Songpeng et al.,399
Songpeng et al.,216
Songpeng et al.,3452
Songpeng et al.,4562
Songpeng et al.,3812
Songpeng et al.,4140
Songpeng et al.,1314
Songpeng et al.,1801
Songpeng et al.,231
Songpeng et al.,329
Songpeng et al.,54
Songpeng et al.,4726
Songpeng et al.,24665
Songpeng et al.,8798
Songpeng et al.,2175
Songpeng et al.,563
Songpeng et al.,572
Songpeng et al.,534
Songpeng et al.,396
Songpeng et al.,847
Songpeng et al.,608
Songpeng et al.,96
Songpeng et al.,304
Songpeng et al.,3569
Songpeng et al.,14947
Songpeng et al.,2589
Songpeng et al.,1343
Songpeng et al.,4743
Songpeng et al.,5233
Songpeng et al.,1337
Songpeng et al.,592
Songpeng et al.,136
Songpeng et al.,983
Songpeng et al.,1603
Songpeng et al.,111
Songpeng et al.,858
Songpeng et al.,883
Songpeng et al.,379
Songpeng et al.,8
Songpeng et al.,4950
Songpeng et al.,4823
Songpeng et al.,3329
Songpeng et al.,4998
Songpeng et al.,4014
Songpeng et al.,410
Songpeng et al.,5216
Songpeng et al.,31
Songpeng et al.,990
Songpeng et al.,1027
Songpeng et al.,272
Songpeng et al.,341
Songpeng et al.,442
Songpeng et al.,46
Songpeng et al.,3429
Songpeng et al.,3552
Songpeng et al.,3534
Songpeng et al.,2993
Songpeng et al.,487
Songpeng et al.,441
Songpeng et al.,3407
Songpeng et al.,401
Songpeng et al.,763
Songpeng et al.,88
Songpeng et al.,170
Songpeng et al.,115
Songpeng et al.,5075
Songpeng et al.,471
Songpeng et al.,235
Songpeng et al.,591
Songpeng et al.,85
Songpeng et al.,532
Songpeng et al.,2078
Songpeng et al.,1317
Songpeng et al.,2873
Songpeng et al.,568
Songpeng et al.,549
Songpeng et al.,4719
Songpeng et al.,257
Songpeng et al.,2075
Songpeng et al.,4533
Songpeng et al.,3225
Songpeng et al.,4656
Songpeng et al.,3566
Songpeng et al.,2532
Songpeng et al.,141
Songpeng et al.,1279
Songpeng et al.,189
