AUROC,fntype
0.987261964488167,conserved_one
0.990085739142351,conserved_one
0.974350203816738,conserved_one
0.994987041682587,conserved_both
0.98153327461899,conserved_one
0.943612272486752,diverged
0.976847176645058,diverged
0.99011617018594,diverged
0.943428296507856,diverged
0.94325329540174,conserved_one
0.94456727572961,conserved_one
0.958020168118781,diverged
0.952299990449251,conserved_one
0.953538296898015,diverged
0.951849181612169,diverged
0.952848078822031,diverged
0.971132659744423,diverged
0.963472911375905,diverged
0.976266095912629,conserved_both
0.954367434153443,conserved_one
0.964616449531071,conserved_one
0.941934341687743,conserved_one
0.951557403826337,diverged
0.95541681822019,diverged
0.948595039593862,diverged
0.989993393668104,conserved_both
0.992595101071804,diverged
0.994889131582952,conserved_both
0.995392721625558,conserved_both
0.990869430763903,diverged
0.997462903886002,conserved_both
0.994145396141797,conserved_both
0.995994790940361,diverged
0.995486322458458,conserved_both
0.993813032309007,diverged
0.992646261466627,diverged
0.990882538814309,diverged
0.98952356165716,diverged
0.989698451743386,diverged
0.989632053390189,diverged
0.980381650278536,conserved_one
0.974069405966111,conserved_one
0.984886781653922,conserved_one
0.990162793815486,conserved_one
0.983680930818173,conserved_one
0.979548192632316,conserved_both
0.992357297086184,conserved_both
0.978420939484915,conserved_both
0.976587147204567,diverged
0.982101244772305,conserved_one
0.948635489474938,conserved_both
0.872303325885722,conserved_one
0.932573261863043,conserved_both
0.986777508398811,conserved_one
0.999518339415747,conserved_both
0.992843658580044,conserved_one
0.969179160370246,diverged
0.970254598702899,diverged
0.930205451335278,diverged
0.987125404219779,diverged
0.982564546459511,conserved_one
0.97622420337136,conserved_one
0.985293092798868,diverged
0.903206857786468,conserved_one
0.950783780951999,conserved_one
0.997091287469494,conserved_one
0.926985368136038,conserved_one
0.939897658033979,conserved_one
0.999335854976028,conserved_one
0.980155316969173,conserved_both
0.950970463463288,diverged
0.972226722342477,conserved_one
0.981673760472056,conserved_one
0.99707472558465,conserved_one
0.995407375450368,conserved_both
0.989535629204219,diverged
0.988636312308605,diverged
0.981875135269267,conserved_one
0.992716446228466,conserved_one
0.989705169701507,conserved_one
0.98912743090672,conserved_both
0.98967991814438006,conserved_both
0.987289443430927,diverged
0.994642631065973,diverged
0.981026267568564,conserved_one
0.994735973361335,diverged
0.976791793412292,conserved_one
0.987228105448039,conserved_one
0.98805409781167,conserved_both
0.986799412430887,conserved_one
0.982220043272595,conserved_both
0.978001898192235,conserved_both
0.976686855813518,diverged
0.982490934719591,diverged
0.98839704112007,conserved_one
0.986172352529628,diverged
0.981768868572491,conserved_one
0.980320113820904,diverged
0.983597181544497,conserved_both
0.984190867957357,conserved_one
0.976540509407646,conserved_one
0.967596090468256,conserved_one
0.988387513946648,diverged
0.994443417390002,diverged
0.970572592452896,conserved_one
0.974520907364085,diverged
0.975160073806927,conserved_one
0.982786854284192,conserved_one
0.979451355617527,conserved_one
0.988419975905768,conserved_one
0.988006803423142,conserved_both
0.969408375933816,conserved_one
0.982396951592132,conserved_one
0.985341828860587,conserved_one
0.988956592189764,conserved_one
0.968212173685888,conserved_one
0.996474772979835,conserved_both
0.978703305199338,conserved_one
