target_cluster,source,auroc,type,source_label,Comparison
Inh_Gata3_Pou6f2_Olfr48_1,Macosko,0.896862541603412,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Ex_Onecut3_Spag16_3,Macosko,0.9295970030396328,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Ex_Lhx9_Rxfp2_1,Macosko,0.899495810587067,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Inh_Lhx6_Gpr174_1,Macosko,0.92862089971326,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Inh_Lhx6_Car8_5,Macosko,0.9189611214851604,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Inh_Pax6_Pou6f2_Pdgfd_1,Macosko,0.93315210007139,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Ex_Tfap2d_Npr1_2,Macosko,0.7776148294107776,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Ex_Vsx2_Nkx6-3_3,Macosko,0.8712649580194214,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Ex_Pax6_Qrfprl_1,Macosko,0.8593722676927491,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Ex_Ebf2_Npff_1,Macosko,0.8995466243115459,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Inh_Pax2_H2-Q7,Macosko,0.8328052887300473,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Ex_Lmx1a_Crh,Macosko,0.9368056407532808,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Inh_Pax8_Otp_1,Macosko,0.8398024353586244,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Inh_Fbxl7_Cyp26b1_4,Macosko,0.7802524552048969,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Ex_Pitx1_Nts,Macosko,0.9078427614151212,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Ex_Ebf2_Cox8b_2,Macosko,0.7882113633876736,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Ex_C1ql4_Serpina3g,Macosko,0.9858463090705464,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Ex_Nkx2-4_Fezf2,Macosko,0.767766352238218,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Ex_Lmx1a_Qrfprl_2,Macosko,0.9153638360491612,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Inh_Dlx1_Satb2_2,Macosko,0.8271127679106116,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Ex_Sim1_Trh_3,Macosko,0.9264221374179168,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Ex_Ebf2_Gask1b_2,Macosko,0.9994417779991448,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Inh_Pax2_Chrna2_2,Macosko,0.8526150090306756,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Fibro_Vdr_Mmp13_1,Macosko,0.91569331959577,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Inh_Onecut3_Aspm_2,Macosko,0.8669081673158805,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Inh_Ppp1r1b_Drd2_Sphkap_3,Macosko,0.955140000733354,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Inh_Nkx2-1_Sytl4_2,Macosko,0.8436467679701971,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Ex_Tfap2b_Ppp1r1c_1,Macosko,0.8115866821684224,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Inh_Pax5_Sox21_3,Macosko,0.9648773366748414,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Inh_Gata3_Olfr48_3,Macosko,0.9250519451170124,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Inh_Sp8_Spp1_3,Macosko,0.8846963583946934,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Inh_Foxb1_Tacr3_2,Macosko,0.9592855999178324,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
SerEx_Fev_Tecrl,Macosko,0.9786484495783376,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Ex_C1ql4_Calcr_1,Macosko,0.9312103703340356,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Ex_Plekhg1_Pth2r_Frem3_3,Macosko,0.8646504365843437,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
SerInh_Fev_Itgb6_1,Macosko,0.9636594536327532,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
