cell.type,study_id,n,cumulative_cell_fraction,cumulative_cluster_fraction,Dataset
Macosko|Ex_Phox2b_Slc39a12_5,Macosko,60,0.9834533464509758,0.6300198807157058,Nuclei
Macosko|Ex_Sall1_Pmfbp1_9,Macosko,60,0.983466960240474,0.6302186878727635,Nuclei
Macosko|Ex_Sim1_Adam33_3,Macosko,60,0.9834805740299721,0.630417495029821,Nuclei
Macosko|Ex_Sim1_Trh_6,Macosko,60,0.9834941878194703,0.6306163021868787,Nuclei
Macosko|Ex_Tcf7l2_Prokr2,Macosko,60,0.9835078016089684,0.6308151093439364,Nuclei
Macosko|Ex_Tfap2b_Piezo2_6,Macosko,60,0.9835214153984665,0.631013916500994,Nuclei
Macosko|Ex_Tfap2b_Saa1,Macosko,60,0.9835350291879646,0.6312127236580517,Nuclei
Macosko|Ex_Vsx2_Htr3a,Macosko,60,0.9835486429774628,0.6314115308151094,Nuclei
Macosko|Inh_Dmbx1_Irak3_1,Macosko,60,0.983562256766961,0.631610337972167,Nuclei
Macosko|Inh_Ecel1_Foxd1_1,Macosko,60,0.9835758705564591,0.6318091451292247,Nuclei
Macosko|Inh_Gata3_Gm11639_1,Macosko,60,0.9835894843459573,0.6320079522862823,Nuclei
Macosko|Inh_Gata3_Msx1_1,Macosko,60,0.9836030981354554,0.6322067594433399,Nuclei
Macosko|Inh_Hoxb5_Sytl5_2,Macosko,60,0.9836167119249535,0.6324055666003976,Nuclei
Macosko|Inh_Lhx6_Cox6a2_Postn,Macosko,60,0.9836303257144516,0.6326043737574553,Nuclei
Macosko|Inh_Onecut1_Met_2,Macosko,60,0.9836439395039498,0.6328031809145129,Nuclei
Macosko|Inh_Otx1_Coch_1,Macosko,60,0.983657553293448,0.6330019880715706,Nuclei
Macosko|Inh_Otx1_Sox14_3,Macosko,60,0.9836711670829461,0.6332007952286283,Nuclei
Macosko|Inh_Pax2_Hoxb5_Rubcnl_3,Macosko,60,0.9836847808724443,0.6333996023856859,Nuclei
Macosko|Inh_Pax2_Lrp2,Macosko,60,0.9836983946619424,0.6335984095427435,Nuclei
Macosko|Inh_Pax2_Nkx6-1_Irx4_2,Macosko,60,0.9837120084514405,0.6337972166998012,Nuclei
Macosko|Inh_Pax2_Nkx6-1_Npy2r_1,Macosko,60,0.9837256222409386,0.6339960238568588,Nuclei
Macosko|Inh_Pax2_Npsr1_1,Macosko,60,0.9837392360304368,0.6341948310139165,Nuclei
Macosko|Inh_Pax7_P2ry10b_5,Macosko,60,0.9837528498199349,0.6343936381709742,Nuclei
Macosko|Inh_Pax8_Qrfpr_2,Macosko,60,0.9837664636094331,0.6345924453280318,Nuclei
Macosko|NorEx_Phox2b_Ppara_1,Macosko,60,0.9837800773989313,0.6347912524850895,Nuclei
Macosko|OlfactoryEnsheathing_Alx4_Gprc5c,Macosko,60,0.9837936911884294,0.6349900596421472,Nuclei
Zeng|1000,Zeng,59,0.987974947167631,0.7609921082299888,Cells
Zeng|1222,Zeng,59,0.9879895403781769,0.7611800075159715,Cells
Zeng|1234,Zeng,59,0.9880041335887227,0.7613679068019541,Cells
Zeng|1417,Zeng,59,0.9880187267992686,0.7615558060879368,Cells
Zeng|1666,Zeng,59,0.9880333200098146,0.7617437053739196,Cells
Zeng|2163,Zeng,59,0.9880479132203605,0.7619316046599023,Cells
