Study_ID|Celltype_1,Study_ID|Celltype_2
Macosko|Ex_Fibcd1_Lefty1_2,Zeng|354
Macosko|Ex_Fibcd1_Lefty1_Nell1,Zeng|331
Macosko|Ex_Fibcd1_Psrc1_2,Zeng|350
Macosko|Ex_Fibcd1_Psrc1_5,Zeng|359
Macosko|Ex_Fibcd1_Slc9a4_1,Zeng|352
Macosko|Ex_Fibcd1_Tacr3_1,Zeng|343
Macosko|Ex_Fibcd1_Tacr3_2,Zeng|366
Macosko|Ex_Fn1_Cfap58,Zeng|306
Macosko|Ex_Fn1_Nts,Zeng|4683
Macosko|Ex_Foxb1_Nat8f6_1,Zeng|4176
Macosko|Ex_Foxd3_Irx4_2,Zeng|4040
Macosko|Ex_Foxd3_Olig3_1,Zeng|4115
Macosko|Ex_Foxd3_Olig3_2,Zeng|4055
Macosko|Ex_Foxp2_C130074G19Rik_1,Zeng|200
Macosko|Ex_Foxp2_Col12a1_Ddo,Zeng|70
Macosko|Ex_Foxp2_Col5a1,Zeng|72
Macosko|Ex_Foxp2_Dsc3,Zeng|312
Macosko|Ex_Gabra6_Gabrd,Zeng|5158
Macosko|Ex_Gata3_Cwh43,Zeng|3880
Macosko|Ex_Gata3_Slc17a8_1,Zeng|2857
Macosko|Ex_Gata3_Svs5,Zeng|3164
Macosko|Ex_Gata3_Tgm6_2,Zeng|3216
Macosko|Ex_Gbx2_Adam18_2,Zeng|5140
Macosko|Ex_Hmx2_Abcc9_1,Zeng|3629
Macosko|Ex_Hmx2_Ppef1_4,Zeng|3649
Macosko|Ex_Hmx2_Vip_1,Zeng|3646
Macosko|Ex_Hmx3_Has2,Zeng|4036
Macosko|Ex_Hmx3_Npbwr1,Zeng|4058
Macosko|Ex_Hmx3_Sst,Zeng|3645
Macosko|Ex_Hmx3_Twist2_1,Zeng|2570
Macosko|Ex_Hoxb3_Ldlrap1_15,Zeng|4217
Macosko|Ex_Hoxb5_Klc3,Zeng|3664
Macosko|Ex_Hoxb8_Aldh1a2_1,Zeng|4251
Macosko|Ex_Hoxc6_Hpse_2,Zeng|3824
Macosko|Ex_Hoxc6_Ppef1,Zeng|3817
Macosko|Ex_Hoxc6_Slc7a13_2,Zeng|3814
Macosko|Ex_Hpgd_Cd24a_2,Zeng|5017
Macosko|Ex_Hpgd_Ednra,Zeng|4548
Macosko|Ex_Hpgd_Pik3c2g_2,Zeng|4542
Macosko|Ex_Iqcj_Ms4a15_2,Zeng|2873
Macosko|Ex_Iqcj_Ms4a15_7,Zeng|2872
Macosko|Ex_Irx2_Cldn23,Zeng|2899
Macosko|Ex_Irx2_Kcng4_Slc43a3,Zeng|2889
Macosko|Ex_Irx2_Nppc_3,Zeng|2908
Macosko|Ex_Irx2_Rspo3_2,Zeng|2901
Macosko|Ex_Irx2_Slc43a3_1,Zeng|2882
Macosko|Ex_Irx3_Kcnj5_2,Zeng|4546
Macosko|Ex_Irx4_Slc17a8,Zeng|2631
Macosko|Ex_Lef1_Gpr101,Zeng|247
Macosko|Ex_Lhx1_Edn1,Zeng|2764
Macosko|Ex_Lhx2_Frk,Zeng|3827
Macosko|Ex_Lhx2_Gng8_1,Zeng|4799
Macosko|Ex_Lhx2_Hgf_1,Zeng|3812
Macosko|Ex_Lhx2_Il31ra_2,Zeng|2734
Macosko|Ex_Lhx2_Mafa,Zeng|4553
Macosko|Ex_Lhx2_Mdfic2,Zeng|3832
Macosko|Ex_Lhx2_Nek11_6,Zeng|4774
Macosko|Ex_Lhx2_Nek11_7,Zeng|4795
Macosko|Ex_Lhx2_Pth2,Zeng|4789
Macosko|Ex_Lhx2_Pth2_1,Zeng|4769
Macosko|Ex_Lhx2_Pth2_2,Zeng|4773
Macosko|Ex_Lhx2_Thbs2,Zeng|4178
Macosko|Ex_Lhx3_A730046J19Rik,Zeng|3700
Macosko|Ex_Lhx4_Cnga3,Zeng|3031
Macosko|Ex_Lhx4_Gpr101_2,Zeng|3032
Macosko|Ex_Lhx4_Gpr101_4,Zeng|3055
Macosko|Ex_Lhx4_Gpr101_5,Zeng|3036
Macosko|Ex_Lhx4_Hgf,Zeng|24410
Macosko|Ex_Lhx4_Pdlim3,Zeng|24681
Macosko|Ex_Lhx4_Vsx2_1,Zeng|3017
Macosko|Ex_Lhx4_Vsx2_2,Zeng|3028
Macosko|Ex_Lhx9_A1bg_1,Zeng|8178
Macosko|Ex_Lhx9_Adgrg2_3,Zeng|4788
Macosko|Ex_Lhx9_Atp8b1_3,Zeng|2609
Macosko|Ex_Lhx9_Cd44,Zeng|24533
Macosko|Ex_Lhx9_Chrm1_2,Zeng|2637
Macosko|Ex_Lhx9_Dnah5,Zeng|3833
Macosko|Ex_Lhx9_Hsd17b14_2,Zeng|4134
Macosko|Ex_Lhx9_Igfbp2_1,Zeng|8801
Macosko|Ex_Lhx9_Igfbpl1_2,Zeng|3835
Macosko|Ex_Lhx9_Lrp4,Zeng|4778
Macosko|Ex_Lhx9_Lrrk1,Zeng|3815
Macosko|Ex_Lhx9_Mstn_Vxn,Zeng|479
Macosko|Ex_Lhx9_Nps,Zeng|2602
Macosko|Ex_Lhx9_Npsr1_1,Zeng|4787
Macosko|Ex_Lhx9_Prdm6_1,Zeng|3823
Macosko|Ex_Lhx9_Prdm8_2,Zeng|4858
Macosko|Ex_Lhx9_Prok2,Zeng|2605
Macosko|Ex_Lhx9_Qrfprl_2,Zeng|3820
Macosko|Ex_Lhx9_Slc26a7_2,Zeng|4856
Macosko|Ex_Lhx9_Slc38a11_6,Zeng|24690
Macosko|Ex_Lhx9_Slc6a2_1,Zeng|3691
Macosko|Ex_Lhx9_Slc6a2_3,Zeng|3692
Macosko|Ex_Lmx1a_Bdnf_3,Zeng|2244
Macosko|Ex_Lmx1a_Bnc2,Zeng|2231
Macosko|Ex_Lmx1a_Cckar_1,Zeng|2196
Macosko|Ex_Lmx1a_Crhbp_5,Zeng|2377
Macosko|Ex_Lmx1a_Dkkl1,Zeng|2203
Macosko|Ex_Lmx1a_Dnaaf6b_1,Zeng|2190
Macosko|Ex_Lmx1a_Dnaaf6b_2,Zeng|2194
Macosko|Ex_Lmx1a_Galnt3_1,Zeng|2784
Macosko|Ex_Lmx1a_Gngt2,Zeng|2375
Macosko|Ex_Lmx1a_H2-Q10_2,Zeng|2235
Macosko|Ex_Lmx1a_H2-Q10_3,Zeng|2236
Macosko|Ex_Lmx1a_Irx3_3,Zeng|2206
Macosko|Ex_Lmx1a_Irx3_5,Zeng|2199
Macosko|Ex_Lmx1a_Irx6_3,Zeng|2207
Macosko|Ex_Lmx1a_Itih5,Zeng|2219
Macosko|Ex_Lmx1a_Itih5_1,Zeng|2243
Macosko|Ex_Lmx1a_Kcp_1,Zeng|2217
Macosko|Ex_Lmx1a_Kcp_2,Zeng|2222
Macosko|Ex_Lmx1a_Npffr2_2,Zeng|2376
Macosko|Ex_Lmx1a_Pgr15l_3,Zeng|2188
Macosko|Ex_Lmx1a_Pirt,Zeng|2181
Macosko|Ex_Lmx1a_Pkd1l1,Zeng|2240
Macosko|Ex_Lmx1a_Qrfprl_2,Zeng|2204
Macosko|Ex_Lmx1a_Scart2_2,Zeng|2338
Macosko|Ex_Lmx1a_Smd3,Zeng|5153
Macosko|Ex_Lmx1a_Wnt11,Zeng|2370
Macosko|Ex_Lmx1b_1110032F04Rik_2,Zeng|3830
Macosko|Ex_Lmx1b_Adam33_2,Zeng|3797
Macosko|Ex_Lmx1b_Arsj_2,Zeng|2815
Macosko|Ex_Lmx1b_Cd36_3,Zeng|2771
Macosko|Ex_Lmx1b_Dkkl1,Zeng|2797
Macosko|Ex_Lmx1b_Drd1_3,Zeng|2783
Macosko|Ex_Lmx1b_Dynap_4,Zeng|4245
Macosko|Ex_Lmx1b_Dynap_5,Zeng|4243
Macosko|Ex_Lmx1b_Dytn,Zeng|24688
Macosko|Ex_Lmx1b_Esm1,Zeng|3819
Macosko|Ex_Lmx1b_F2rl2,Zeng|4250
Macosko|Ex_Lmx1b_Hmx2_3,Zeng|2853
Macosko|Ex_Lmx1b_Itih5_1,Zeng|2772
Macosko|Ex_Lmx1b_Itih5_2,Zeng|2787
Macosko|Ex_Lmx1b_Meox2,Zeng|15081
Macosko|Ex_Lmx1b_Morc1_2,Zeng|4294
Macosko|Ex_Lmx1b_Ptgfr,Zeng|2770
Macosko|Ex_Lmx1b_Scn5a_1,Zeng|4819
Macosko|Ex_Lmx1b_Scn5a_2,Zeng|4838
Macosko|Ex_Lmx1b_Scn5a_3,Zeng|4298
Macosko|Ex_Lmx1b_Tmem100_1,Zeng|24689
Macosko|Ex_Lmx1b_Unc5cl_2,Zeng|4228
Macosko|Ex_Lypd6b_Dipk1c_2,Zeng|5107
Macosko|Ex_Maff_Atf3_1,Zeng|2145
Macosko|Ex_Neurod6_Dnah11_3,Zeng|4850
Macosko|Ex_Neurod6_Dnah11_8,Zeng|4733
Macosko|Ex_Neurod6_E130114P18Rik,Zeng|485
Macosko|Ex_Neurod6_Fam83b,Zeng|4848
Macosko|Ex_Neurod6_Fn1_2,Zeng|4837
Macosko|Ex_Neurod6_Pou4f3_2,Zeng|4814
Macosko|Ex_Nkx2-1_Nppb,Zeng|2826
Macosko|Ex_Nkx2-1_Otp_2,Zeng|24658
Macosko|Ex_Nkx2-1_Pmch_2,Zeng|2134
Macosko|Ex_Nkx2-2_Grp_1,Zeng|2447
Macosko|Ex_Nkx2-2_Robo3_1,Zeng|2163
Macosko|Ex_Nkx2-4_Calcr_3,Zeng|2430
Macosko|Ex_Nkx2-4_Calcr_8,Zeng|2431
Macosko|Ex_Nkx2-4_Ednra_2,Zeng|2324
Macosko|Ex_Nkx2-4_Grpr_2,Zeng|2439
Macosko|Ex_Nkx2-4_Grpr_5,Zeng|2428
Macosko|Ex_Nkx2-4_Ppp1r17_2,Zeng|2321
Macosko|Ex_Nkx2-4_Spp1_3,Zeng|2138
Macosko|Ex_Nkx6-1_Atp6v1c2,Zeng|2149
Macosko|Ex_Nkx6-1_Gucy2c_3,Zeng|3775
Macosko|Ex_Nkx6-1_Nccrp1_1,Zeng|2182
Macosko|Ex_Nkx6-1_Pax8_2,Zeng|3030
Macosko|Ex_Nkx6-1_Shisal2b,Zeng|2161
Macosko|Ex_Nkx6-1_Vsx2_1,Zeng|3029
Macosko|Ex_Nkx6-1_Vsx2_2,Zeng|3086
Macosko|Ex_Nkx6-1_Vsx2_3,Zeng|3067
Macosko|Ex_Nxph4_Arhgap36,Zeng|4474
Macosko|Ex_Nxph4_Chodl_2,Zeng|4574
Macosko|Ex_Nxph4_Hpgd,Zeng|4572
Macosko|Ex_Nxph4_Krt73,Zeng|4757
Macosko|Ex_Nxph4_Megf6,Zeng|43
Macosko|Ex_Nxph4_Moxd1_Igfbp4,Zeng|30
Macosko|Ex_Nxph4_Olfr110_Crhr1,Zeng|38
Macosko|Ex_Nxph4_Twist1_2,Zeng|4528
Macosko|Ex_Nxph4_Zar1l_4,Zeng|4575
Macosko|Ex_Olig3_Bdkrb2,Zeng|4037
Macosko|Ex_Onecut2_Hmx3_Adamtsl3_2,Zeng|3847
Macosko|Ex_Onecut2_Hmx3_Trim6_3,Zeng|3838
Macosko|Ex_Onecut3_Bnc2,Zeng|1617
Macosko|Ex_Onecut3_Spag16_1,Zeng|1606
Macosko|Ex_Onecut3_Spag16_3,Zeng|1605
Macosko|Ex_Otx2_Sapcd1,Zeng|2265
Macosko|Ex_Pax2_Erfl_2,Zeng|24598
Macosko|Ex_Pax2_Mafb_2,Zeng|24597
Macosko|Ex_Pax5_Ggta1_2,Zeng|4283
Macosko|Ex_Pax5_Gng8,Zeng|2621
Macosko|Ex_Pax5_Lnp1_1,Zeng|4271
Macosko|Ex_Pax5_Npbwr1,Zeng|4267
Macosko|Ex_Pax5_Ucn3_2,Zeng|4269
Macosko|Ex_Pax6_Avpr1a_3,Zeng|24557
Macosko|Ex_Pax6_Avpr1a_6,Zeng|24561
Macosko|Ex_Pax6_Casp1,Zeng|24554
Macosko|Ex_Pax6_Otx1_2,Zeng|2302
Macosko|Ex_Pax6_Otx1_3,Zeng|2310
Macosko|Ex_Pax6_Pappa2_2,Zeng|2306
Macosko|Ex_Pax6_Pgr15l_1,Zeng|2179
Macosko|Ex_Pax6_Qrfprl_2,Zeng|4701
Macosko|Ex_Pax6_Scgn,Zeng|4842
Macosko|Ex_Pax6_Serpinb11,Zeng|2304
Macosko|Ex_Pax6_Slc5a7_2,Zeng|2301
Macosko|Ex_Pax6_Them7,Zeng|1128
Macosko|Ex_Pax6_Vgll3_1,Zeng|2305
