Study_ID|Celltype_1,Study_ID|Celltype_2
Macosko|Inh_Foxp2_Tmem233_3,Zeng|3977
Macosko|Inh_Frmd7_Ano2_1,Zeng|1332
Macosko|Inh_Frmd7_Ano2_2,Zeng|1329
Macosko|Inh_Frmd7_Crhbp_3,Zeng|1300
Macosko|Inh_Frmd7_Edaradd,Zeng|1353
Macosko|Inh_Frmd7_Ltbp2_1,Zeng|1325
Macosko|Inh_Frmd7_Ltbp2_2,Zeng|1323
Macosko|Inh_Frmd7_Ltbp2_3,Zeng|1324
Macosko|Inh_Frmd7_Mgam,Zeng|1337
Macosko|Inh_Frmd7_Ror1,Zeng|1316
Macosko|Inh_Frmd7_Slc17a8,Zeng|1378
Macosko|Inh_Frmd7_Slc26a7_1,Zeng|1315
Macosko|Inh_Frmd7_Tpbg,Zeng|1306
Macosko|Inh_Frmd7_Trhr_1,Zeng|1312
Macosko|Inh_Frmd7_Trhr_4,Zeng|1308
Macosko|Inh_Frmd7_Zim1,Zeng|1284
Macosko|Inh_Gata3_Areg_1,Zeng|3203
Macosko|Inh_Gata3_Areg_2,Zeng|3215
Macosko|Inh_Gata3_Chrna5,Zeng|3240
Macosko|Inh_Gata3_Lrrc38,Zeng|3337
Macosko|Inh_Gata3_Msx1_4,Zeng|34164
Macosko|Inh_Gata3_Nkx2-2_Cfap100_2,Zeng|3287
Macosko|Inh_Gata3_Nptx2_2,Zeng|24710
Macosko|Inh_Gata3_Pdlim3_4,Zeng|3158
Macosko|Inh_Gata3_Qrfpr_2,Zeng|34316
Macosko|Inh_Gata3_Sp9_1,Zeng|3224
Macosko|Inh_Gata3_Sp9_2,Zeng|3222
Macosko|Inh_Gata3_Tnnt1_3,Zeng|3226
Macosko|Inh_Gata3_Ucn3,Zeng|3166
Macosko|Inh_Hoxc4_Chrdl2_7,Zeng|4359
Macosko|Inh_Hoxc4_F5_1,Zeng|4392
Macosko|Inh_Hoxc4_Fbln2_1,Zeng|4387
Macosko|Inh_Htr3a_Ibsp_6,Zeng|672
Macosko|Inh_Htr3a_Pdzph1_2,Zeng|668
Macosko|Inh_Htr3a_Prom1_2,Zeng|682
Macosko|Inh_Irx5_Erfl_1,Zeng|2959
Macosko|Inh_Irx5_Tafa4_3,Zeng|2953
Macosko|Inh_Irx5_Tafa4_4,Zeng|2950
Macosko|Inh_Isl1_Drd1_Folh1_1,Zeng|1194
Macosko|Inh_Lamp5_Ndnf_Prom1,Zeng|703
Macosko|Inh_Lamp5_Ndnf_Tgfbi,Zeng|709
Macosko|Inh_Lhx1_Emx2_1,Zeng|3417
Macosko|Inh_Lhx1_Nkx2-4_3,Zeng|2061
Macosko|Inh_Lhx6_Car8_8,Zeng|727
Macosko|Inh_Lhx6_Ccdc172_2,Zeng|784
Macosko|Inh_Lhx6_Cox6a2_Nxph2_1,Zeng|612
Macosko|Inh_Lhx6_Crhbp_1,Zeng|579
Macosko|Inh_Lhx6_Crhbp_3,Zeng|774
Macosko|Inh_Lhx6_Cxcr4_6,Zeng|536
Macosko|Inh_Lhx6_Esr2_3,Zeng|1234
Macosko|Inh_Lhx6_Esr2_6,Zeng|1236
Macosko|Inh_Lhx6_Esr2_7,Zeng|1235
Macosko|Inh_Lhx6_Gpr174_1,Zeng|832
Macosko|Inh_Lhx6_Gpr174_2,Zeng|831
Macosko|Inh_Lhx6_Itgad,Zeng|1221
Macosko|Inh_Lhx6_Npy_2,Zeng|1218
Macosko|Inh_Lhx6_Ntrk1,Zeng|785
Macosko|Inh_Lhx6_Sst_Ccna1_3,Zeng|535
Macosko|Inh_Lhx6_Sst_Chodl_1,Zeng|767
Macosko|Inh_Lhx6_Sst_Crh_Baiap3,Zeng|557
Macosko|Inh_Lhx6_Sst_Crh_Pdzrn3,Zeng|554
Macosko|Inh_Lhx6_Sst_Crhr2_Stac,Zeng|513
Macosko|Inh_Lhx6_Sst_Th_Elfn1,Zeng|546
Macosko|Inh_Lhx6_Vip,Zeng|837
Macosko|Inh_Lhx8_Efhb_1,Zeng|1555
Macosko|Inh_Lhx8_Lypd6,Zeng|1567
Macosko|Inh_Lhx8_Nmu,Zeng|1553
Macosko|Inh_Lhx8_Pde11a_2,Zeng|1559
Macosko|Inh_Meox2_Chodl,Zeng|2026
Macosko|Inh_Meox2_Sox14,Zeng|2029
Macosko|Inh_Nkx2-1_Asb,Zeng|883
Macosko|Inh_Nkx2-1_Sst_2,Zeng|563
Macosko|Inh_Nkx2-2_Clic5,Zeng|3348
