target_study,region,region_name,target_celltype,target_size,ref_celltype,AUROC,is_recip
Sziraki,WMB,whole mouse brain,Sziraki|Microglia_9,24,Macosko|Macro_Mrc1_H2-Aa,0.996488575,FALSE
Sziraki,OLF,Olfactory bulb,Sziraki|OB neurons 1_1,36,Macosko|Inh_Frm7_Otop1_3,0.999611916,FALSE
Sziraki,OLF,Olfactory bulb,Sziraki|OB neurons 1_10,451,Macosko|Inh_Frmd7_Olfr142_7,0.99928792,FALSE
Sziraki,OLF,Olfactory bulb,Sziraki|OB neurons 1_11,512,Macosko|Inh_Vcan_St8sia2_4,0.99957833,FALSE
Sziraki,OLF,Olfactory bulb,Sziraki|OB neurons 1_12,40,Macosko|Inh_Tmem200a_Esr2,0.999980764,TRUE
Sziraki,OLF,Olfactory bulb,Sziraki|OB neurons 1_13,128,Macosko|Inh_Frmd7_Olfr142_3,0.910330686,FALSE
Sziraki,OLF,Olfactory bulb,Sziraki|OB neurons 1_14,42,Macosko|Inh_Frmd7_Fos,0.998716916,TRUE
Sziraki,OLF,Olfactory bulb,Sziraki|OB neurons 1_15,15,Macosko|Inh_Frm7_Epcam_2,0.998927365,TRUE
Sziraki,OLF,Olfactory bulb,Sziraki|OB neurons 1_16,82,Macosko|Inh_Frmd7_Ltbp2_2,0.999058106,TRUE
Sziraki,OLF,Olfactory bulb,Sziraki|OB neurons 1_17,130,Macosko|NG_Draxin_12,0.9989106,TRUE
Sziraki,OLF,Olfactory bulb,Sziraki|OB neurons 1_2,419,Macosko|Inh_Frmd7_Olfr142_8,0.998040817,FALSE
Sziraki,OLF,Olfactory bulb,Sziraki|OB neurons 1_3,373,Macosko|Inh_Frmd7_Trhr_3,0.998435246,FALSE
Sziraki,OLF,Olfactory bulb,Sziraki|OB neurons 1_4,90,Macosko|Inh_Aqp9_4930523C07Rik,0.999784231,TRUE
Sziraki,OLF,Olfactory bulb,Sziraki|OB neurons 1_5,139,Macosko|Inh_Frmd7_Trhr_4,0.99858104,TRUE
Sziraki,OLF,Olfactory bulb,Sziraki|OB neurons 1_6,503,Macosko|Inh_Frmd7_Atp2b4,0.997356964,FALSE
Sziraki,OLF,Olfactory bulb,Sziraki|OB neurons 1_7,56,Macosko|NG_Myoz1_8,0.99977874,FALSE
Sziraki,OLF,Olfactory bulb,Sziraki|OB neurons 1_8,143,Macosko|Inh_Plpp4_Pdgfd,0.999758842,TRUE
Sziraki,OLF,Olfactory bulb,Sziraki|OB neurons 1_9,239,Macosko|Inh_Frmd7_Sema3c,0.998584179,TRUE
Sziraki,OLF,Olfactory bulb,Sziraki|OB neurons 2_1,46,Macosko|Inh_Plpp4_Fbln5,0.999869551,TRUE
Sziraki,OLF,Olfactory bulb,Sziraki|OB neurons 2_10,34,Macosko|Inh_Creb5_Ror1_1,0.99997596,TRUE
Sziraki,OLF,Olfactory bulb,Sziraki|OB neurons 2_2,80,Macosko|Inh_Plpp4_Aox3_6,0.99987925,FALSE
Sziraki,OLF,Olfactory bulb,Sziraki|OB neurons 2_3,142,Macosko|Inh_Sel1l3_Zfp385c_3,0.999836462,FALSE
Sziraki,OLF,Olfactory bulb,Sziraki|OB neurons 2_4,31,Macosko|Inh_Plpp4_Ret,0.999952633,TRUE
Sziraki,OLF,Olfactory bulb,Sziraki|OB neurons 2_5,46,Macosko|Inh_Plpp4_Aox3_1,0.940671663,TRUE
Sziraki,OLF,Olfactory bulb,Sziraki|OB neurons 2_6,20,Macosko|Inh_Sel1l3_Zfp385c_1,0.989307315,FALSE
Sziraki,OLF,Olfactory bulb,Sziraki|OB neurons 2_7,24,Macosko|Inh_Vip_Trim55_3,0.999939053,FALSE
Sziraki,OLF,Olfactory bulb,Sziraki|OB neurons 2_8,64,Macosko|Inh_Frmd7_Hgf_3,0.999808815,TRUE
Sziraki,OLF,Olfactory bulb,Sziraki|OB neurons 2_9,77,Macosko|Inh_Frmd7_Hgf_2,0.999962477,TRUE
Sziraki,OLF,Olfactory bulb,Sziraki|OB neurons 3_1,66,Macosko|Ex_Iqcj_Ms4a15_2,0.99995836,TRUE
Sziraki,OLF,Olfactory bulb,Sziraki|OB neurons 3_2,27,Macosko|Ex_Lhx1_Edn1,0.999977557,TRUE
Sziraki,OLF,Olfactory bulb,Sziraki|OB neurons 3_3,34,Macosko|Ex_Iqcj_Ms4a15_5,0.999958138,FALSE
Sziraki,OLF,Olfactory bulb,Sziraki|OB neurons 3_4,48,Macosko|Ex_Iqcj_Ms4a15_8,0.999954199,TRUE
Sziraki,OLF,Olfactory bulb,Sziraki|OB neurons 3_5,19,Macosko|Ex_Iqcj_Ms4a15_2,0.999691618,TRUE
Sziraki,OLF,Olfactory bulb,Sziraki|OB neurons 3_6,20,Macosko|Ex_Iqcj_Ms4a15_8,0.999900513,TRUE
Sziraki,OLF,Olfactory bulb,Sziraki|OB neurons 3_7,28,Macosko|Ex_Iqcj_Ms4a15_1,0.999924105,FALSE
Sziraki,OLF,Olfactory bulb,Sziraki|OB neurons 3_8,23,Macosko|Ex_Iqcj_Ms4a15_7,0.999275197,TRUE
Sziraki,WMB,whole mouse brain,Sziraki|Oligodendrocyte progenitor cells_1,1571,Macosko|OPC_Cspg5,0.997189357,TRUE
Sziraki,WMB,whole mouse brain,Sziraki|Oligodendrocyte progenitor cells_10,15,Macosko|OPC_Cspg5,0.994571815,TRUE
Sziraki,WMB,whole mouse brain,Sziraki|Oligodendrocyte progenitor cells_2,367,Macosko|OPC_Cspg5,0.988637754,TRUE
Sziraki,WMB,whole mouse brain,Sziraki|Oligodendrocyte progenitor cells_3,1293,Macosko|OPC_Cspg5,0.996845965,TRUE
Sziraki,WMB,whole mouse brain,Sziraki|Oligodendrocyte progenitor cells_4,176,Macosko|OPC_Cspg5,0.991949404,TRUE
Sziraki,WMB,whole mouse brain,Sziraki|Oligodendrocyte progenitor cells_5,799,Macosko|OPC_Cspg5,0.992339723,TRUE
Sziraki,WMB,whole mouse brain,Sziraki|Oligodendrocyte progenitor cells_6,229,Macosko|OPC_Cspg5,0.991237499,TRUE
Sziraki,WMB,whole mouse brain,Sziraki|Oligodendrocyte progenitor cells_7,188,Macosko|OPC_Cspg5,0.961986744,TRUE
Sziraki,WMB,whole mouse brain,Sziraki|Oligodendrocyte progenitor cells_8,61,Macosko|OPC_Cspg5,0.988929952,TRUE
Sziraki,WMB,whole mouse brain,Sziraki|Oligodendrocyte progenitor cells_9,45,Macosko|OPC_Cspg5,0.992593449,TRUE
Sziraki,WMB,whole mouse brain,Sziraki|Oligodendrocytes_1,4380,Macosko|Oligo_Opalin_Synpr,0.959446141,TRUE
