cell_type,dendro_order,cell_type_short,study,study_type
Zeng|5132,2568,5132,Zeng,Cells
Zeng|5135,2569,5135,Zeng,Cells
Zeng|5146,2570,5146,Zeng,Cells
Zeng|5024,2571,5024,Zeng,Cells
Zeng|5141,2572,5141,Zeng,Cells
Zeng|5148,2573,5148,Zeng,Cells
Macosko|Ex_Lypd6b_Dipk1c_2,2574,Ex_Lypd6b_Dipk1c_2,Macosko,Nuclei
Zeng|5107,2575,5107,Zeng,Cells
Zeng|5109,2576,5109,Zeng,Cells
Zeng|5108,2577,5108,Zeng,Cells
Zeng|5115,2578,5115,Zeng,Cells
Macosko|Ex_Lypd6b_Dipk1c_1,2579,Ex_Lypd6b_Dipk1c_1,Macosko,Nuclei
Zeng|5111,2580,5111,Zeng,Cells
Zeng|5113,2581,5113,Zeng,Cells
Zeng|5110,2582,5110,Zeng,Cells
Zeng|5112,2583,5112,Zeng,Cells
Zeng|5117,2584,5117,Zeng,Cells
Zeng|5118,2585,5118,Zeng,Cells
Zeng|5121,2586,5121,Zeng,Cells
Zeng|5119,2587,5119,Zeng,Cells
Zeng|5114,2588,5114,Zeng,Cells
Zeng|5120,2589,5120,Zeng,Cells
Zeng|5105,2590,5105,Zeng,Cells
Zeng|5106,2591,5106,Zeng,Cells
Macosko|Ex_Plekhg1_Fign_Tnc_2,2592,Ex_Plekhg1_Fign_Tnc_2,Macosko,Nuclei
Macosko|Ex_Plekhg1_Fign_Tnc_1,2593,Ex_Plekhg1_Fign_Tnc_1,Macosko,Nuclei
Macosko|Ex_Plekhg1_Tspear_Abhd12b,2594,Ex_Plekhg1_Tspear_Abhd12b,Macosko,Nuclei
Zeng|5021,2595,5021,Zeng,Cells
Macosko|Ex_Plekhg1_Col27a1_C1ql2_1,2596,Ex_Plekhg1_Col27a1_C1ql2_1,Macosko,Nuclei
Zeng|5020,2597,5020,Zeng,Cells
Macosko|Ex_Plekhg1_Col27a1_C1ql2_2,2598,Ex_Plekhg1_Col27a1_C1ql2_2,Macosko,Nuclei
Macosko|Ex_Plekhg1_Col27a1_C1ql2_3,2599,Ex_Plekhg1_Col27a1_C1ql2_3,Macosko,Nuclei
Zeng|5088,2600,5088,Zeng,Cells
Zeng|5056,2601,5056,Zeng,Cells
Zeng|5063,2602,5063,Zeng,Cells
Zeng|5028,2603,5028,Zeng,Cells
Zeng|5034,2604,5034,Zeng,Cells
Macosko|Ex_Plekhg1_Adamtsl3_Slc17a8_2,2605,Ex_Plekhg1_Adamtsl3_Slc17a8_2,Macosko,Nuclei
Zeng|5128,2606,5128,Zeng,Cells
Macosko|Ex_Plekhg1_Nox4_Bnc2,2607,Ex_Plekhg1_Nox4_Bnc2,Macosko,Nuclei
Macosko|Ex_Plekhg1_Nox4_Ltbp1,2608,Ex_Plekhg1_Nox4_Ltbp1,Macosko,Nuclei
Macosko|Ex_Plekhg1_Nox4_Kcp_3,2609,Ex_Plekhg1_Nox4_Kcp_3,Macosko,Nuclei
Zeng|5122,2610,5122,Zeng,Cells
Zeng|5054,2611,5054,Zeng,Cells
Zeng|5129,2612,5129,Zeng,Cells
Macosko|Ex_Plekhg1_Nox4_Kcp_1,2613,Ex_Plekhg1_Nox4_Kcp_1,Macosko,Nuclei
Zeng|5125,2614,5125,Zeng,Cells
Zeng|5059,2615,5059,Zeng,Cells
Zeng|5055,2616,5055,Zeng,Cells
