,Study_ID|Celltype_1,Study_ID|Celltype_2,Mean_AUROC,Match_type
234,Zeng|1290,Macosko|Inh_Etv4_1,1.0,Reciprocal_top_hit
235,Zeng|3827,Macosko|Ex_Lhx2_Frk,1.0,Reciprocal_top_hit
236,Zeng|3924,Macosko|Ex_Phox2b_Slc39a12_5,1.0,Reciprocal_top_hit
237,Zeng|24557,Macosko|Ex_Pax6_Avpr1a_3,1.0,Reciprocal_top_hit
238,Macosko|Ex_Ebf2_Fer1l6_5,Zeng|4333,1.0,Above_0.999
239,Zeng|767,Macosko|Inh_Lhx6_Sst_Chodl_1,1.0,Reciprocal_top_hit
240,Zeng|1419,Macosko|Inh_Otx2_Prdm16_5,1.0,Reciprocal_top_hit
241,Zeng|294,Macosko|Ex_Abi3bp_Calcrl,1.0,Reciprocal_top_hit
242,Zeng|3976,Macosko|Inh_Foxp2_Tmem233_3,1.0,Above_0.999
243,Zeng|3009,Macosko|Inh_Pax7_Vmn1r207_3,1.0,Reciprocal_top_hit
244,Zeng|3471,Macosko|Inh_Otx2_Ntrk1_2,1.0,Reciprocal_top_hit
245,Macosko|Chol_Tbx20_S100a11_3,Zeng|3895,1.0,Above_0.999
246,Zeng|4238,Macosko|Ex_Ebf2_Tac2_2,1.0,Reciprocal_top_hit
247,Zeng|3613,Macosko|Inh_Otx2_Tnnt1_2,1.0,Reciprocal_top_hit
248,Zeng|4146,Macosko|Inh_Tfap2a_Chrdl2_2,1.0,Reciprocal_top_hit
249,Zeng|1380,Macosko|Inh_Creb5_Ror1_2,1.0,Above_0.999
250,Zeng|3833,Macosko|Ex_Lhx9_Dnah5,1.0,Reciprocal_top_hit
251,Zeng|2397,Macosko|DopEx_Calb1_Npw_2,1.0,Reciprocal_top_hit
252,Zeng|2869,Macosko|Ex_Sln_Niban1,1.0,Reciprocal_top_hit
253,Zeng|14878,Macosko|Ependymal_Tmem212_Lgi1,1.0,Reciprocal_top_hit
254,Zeng|4101,Macosko|Inh_Pax8_Hhip,1.0,Reciprocal_top_hit
255,Zeng|3014,Macosko|Inh_Pax7_Vmn1r207_4,1.0,Reciprocal_top_hit
256,Macosko|Ependymal_Tmem212_Cuzd1,Zeng|14878,1.0,Above_0.999
257,Zeng|2997,Macosko|Inh_Sox6_Postn_2,1.0,Reciprocal_top_hit
258,Macosko|Inh_Etv4_2,Zeng|1290,1.0,Above_0.999
259,Zeng|4916,Macosko|Ex_Ebf2_Nek11_2,1.0,Reciprocal_top_hit
260,Macosko|Ex_Pou4f1_Fads2b_3,Zeng|2885,1.0,Above_0.999
261,Zeng|14881,Macosko|Ependymal_Tmem212_Cuzd1,1.0,Above_0.999
262,Zeng|8176,Macosko|Ex_Ebf2_Krt17_1,1.0,Reciprocal_top_hit
263,Zeng|3955,Macosko|Ex_Phox2b_Dkk2_2,1.0,Reciprocal_top_hit
264,Macosko|Ex_Ebf2_Adgrd1_2,Zeng|4339,1.0,Above_0.999
265,Zeng|4049,Macosko|Ex_Irx1_Padi1_1,1.0,Reciprocal_top_hit
266,Zeng|4237,Macosko|Ex_Ebf2_Olfr273_1,1.0,Reciprocal_top_hit
267,Zeng|1225,Macosko|Inh_Lhx6_Esr2_12,1.0,Reciprocal_top_hit
268,Zeng|3960,Macosko|Ex_Phox2b_Olfr560,1.0,Reciprocal_top_hit
269,Zeng|4229,Macosko|Ex_Ebf2_Grp_1,1.0,Reciprocal_top_hit
