...1,Study_ID|Celltype_1,Study_ID|Celltype_2,Mean_AUROC,Match_type
902,Zeng|2679,Macosko|Ex_Ebf2_Iigp1_1,1,Reciprocal_top_hit
3486,Zeng|2460,Macosko|Ex_Sim1_Cxcl1,1,Reciprocal_top_hit
2905,Zeng|3874,Macosko|Ex_Phox2b_Slc6a2,1,Reciprocal_top_hit
350,Zeng|2671,Macosko|Ex_C1ql4_Drd1_4,1,Reciprocal_top_hit
6116,Zeng|2953,Macosko|Inh_Irx5_Tafa4_3,1,Reciprocal_top_hit
2991,Zeng|2,Macosko|Ex_Plcg2_Ret_2,1,Reciprocal_top_hit
7211,Zeng|34179,Macosko|Inh_Pax2_Gpr83,1,Reciprocal_top_hit
4068,Zeng|4560,Macosko|Ex_Tfap2d_Atp6ap1l_2,1,Reciprocal_top_hit
7944,Zeng|1322,Macosko|Inh_Plpp4_Cartpt,1,Reciprocal_top_hit
54,Zeng|24678,Macosko|CholEx_Lhx9_Evx2_Crabp1,1,Reciprocal_top_hit
5250,Zeng|1287,Macosko|Inh_Frm7_Epcam_1,1,Reciprocal_top_hit
7683,Zeng|978,Macosko|Inh_Pax6_Gpr39_2,1,Reciprocal_top_hit
4848,Zeng|3984,Macosko|Inh_Fbxl7_Cyp26b1_2,1,Reciprocal_top_hit
7948,Zeng|1321,Macosko|Inh_Plpp4_Pdgfd,1,Reciprocal_top_hit
8870,Zeng|5283,Macosko|Micro_Selplg_Siglech,1,Reciprocal_top_hit
5324,Zeng|1315,Macosko|Inh_Frmd7_Slc26a7_1,1,Reciprocal_top_hit
6340,Zeng|1235,Macosko|Inh_Lhx6_Esr2_7,1,Reciprocal_top_hit
6296,Zeng|536,Macosko|Inh_Lhx6_Cxcr4_6,1,Reciprocal_top_hit
2705,Zeng|3939,Macosko|Ex_Phox2a_Cyp26b1_1,1,Reciprocal_top_hit
7553,Zeng|3727,Macosko|Inh_Pax5_Gdf10_1,1,Reciprocal_top_hit
6625,Zeng|1553,Macosko|Inh_Lhx8_Nmu,1,Reciprocal_top_hit
5814,Zeng|34316,Macosko|Inh_Gata3_Qrfpr_2,1,Reciprocal_top_hit
6086,Zeng|682,Macosko|Inh_Htr3a_Prom1_2,1,Reciprocal_top_hit
5251,Zeng|1314,Macosko|Inh_Frm7_Epcam_2,1,Reciprocal_top_hit
8499,Zeng|2994,Macosko|Inh_Sox6_Chrna2,1,Reciprocal_top_hit
437,Zeng|4754,Macosko|Ex_C1ql4_Teddm3_3,1,Reciprocal_top_hit
8775,Zeng|1344,Macosko|Inh_Vcan_Htr3a,1,Reciprocal_top_hit
8618,Zeng|5360,Macosko|Inh_Tbx3_Atf7ip2,1,Reciprocal_top_hit
5,Zeng|14873,Macosko|Astro_Emid1_Gdf10,1,Reciprocal_top_hit
5871,Zeng|3226,Macosko|Inh_Gata3_Tnnt1_3,1,Reciprocal_top_hit
7399,Zeng|4139,Macosko|Inh_Pax2_Sgo2b_5,1,Reciprocal_top_hit
1495,Zeng|2570,Macosko|Ex_Hmx3_Twist2_1,1,Reciprocal_top_hit
6117,Zeng|2950,Macosko|Inh_Irx5_Tafa4_4,1,Reciprocal_top_hit
7486,Zeng|3411,Macosko|Inh_Pax3_Galnt15,1,Reciprocal_top_hit
7256,Zeng|4469,Macosko|Inh_Pax2_Htr3a,1,Reciprocal_top_hit
2356,Zeng|24658,Macosko|Ex_Nkx2-1_Otp_2,1,Reciprocal_top_hit
7022,Zeng|3470,Macosko|Inh_Otx2_Ntrk1_1,1,Reciprocal_top_hit
8826,Zeng|650,Macosko|Inh_Vip_Slc17a8,1,Reciprocal_top_hit
7529,Zeng|3117,Macosko|Inh_Pax5_Asb4_5,1,Reciprocal_top_hit
2702,Zeng|3884,Macosko|Ex_Phox2_4930469K13Rik,1,Reciprocal_top_hit
2057,Zeng|2375,Macosko|Ex_Lmx1a_Gngt2,1,Reciprocal_top_hit
1791,Zeng|3017,Macosko|Ex_Lhx4_Vsx2_1,1,Reciprocal_top_hit
4876,Zeng|2172,Macosko|Inh_Fbxl7_Nccrp1,1,Reciprocal_top_hit
5368,Zeng|3215,Macosko|Inh_Gata3_Areg_2,1,Reciprocal_top_hit
30,Zeng|3628,Macosko|CholEx_Hoxb5_Prdm16_1,1,Reciprocal_top_hit
6825,Zeng|3744,Macosko|Inh_Nkx6-1_Ikzf1,1,Reciprocal_top_hit
3586,Zeng|2501,Macosko|Ex_Sim1_Trh_11,1,Reciprocal_top_hit
409,Zeng|4693,Macosko|Ex_C1ql4_Olfr48,1,Reciprocal_top_hit
8934,Zeng|3781,Macosko|Nor_Phox2b_Pla2g4d_1,1,Reciprocal_top_hit
8391,Zeng|1467,Macosko|Inh_Six6_Vipr2_10,1,Reciprocal_top_hit
7199,Zeng|4451,Macosko|Inh_Pax2_Glp1r_2,1,Reciprocal_top_hit
4043,Zeng|4660,Macosko|Ex_Tfap2b_Slco1c1,1,Reciprocal_top_hit
4751,Zeng|885,Macosko|Inh_Ecel1_Asb4_2,1,Reciprocal_top_hit
8404,Zeng|1465,Macosko|Inh_Six6_Vipr2_9,1,Reciprocal_top_hit
1338,Zeng|42,Macosko|Ex_Fezf2_Tmem255b_2,1,Reciprocal_top_hit
8583,Zeng|957,Macosko|Inh_Sp8_Mc4r,1,Reciprocal_top_hit
4841,Zeng|3843,Macosko|Inh_Fbxl7_Crabp1_1,1,Reciprocal_top_hit
4828,Zeng|3698,Macosko|Inh_Fbxl7_Adad2_1,1,Reciprocal_top_hit
6338,Zeng|1236,Macosko|Inh_Lhx6_Esr2_6,1,Reciprocal_top_hit
1142,Zeng|3724,Macosko|Ex_Fam163a_Npy2r,1,Reciprocal_top_hit
7427,Zeng|4429,Macosko|Inh_Pax2_Tfap2c_1,1,Reciprocal_top_hit
7440,Zeng|4446,Macosko|Inh_Pax2_Tnfaip8l3_2,1,Reciprocal_top_hit
6280,Zeng|609,Macosko|Inh_Lhx6_Cox6a2_Rxfp3,1,Reciprocal_top_hit
2631,Zeng|4271,Macosko|Ex_Pax5_Lnp1_1,1,Reciprocal_top_hit
8675,Zeng|4167,Macosko|Inh_Tfap2a_Sla,1,Reciprocal_top_hit
1690,Zeng|3812,Macosko|Ex_Lhx2_Hgf_1,1,Reciprocal_top_hit
4641,Zeng|933,Macosko|Inh_Clic4_Ano3_3,1,Reciprocal_top_hit
4189,Zeng|3794,Macosko|Ex_Tlx1_Tmem215_3,1,Reciprocal_top_hit
1046,Zeng|4913,Macosko|Ex_Ebf2_Vmn1r214,1,Reciprocal_top_hit
6982,Zeng|3469,Macosko|Inh_Otx2_Bmp4_3,1,Reciprocal_top_hit
7088,Zeng|4033,Macosko|Inh_Pax2_Antxr2_2,1,Reciprocal_top_hit
5299,Zeng|1325,Macosko|Inh_Frmd7_Ltbp2_1,1,Reciprocal_top_hit
8436,Zeng|689,Macosko|Inh_Sncg_Sln_Plch2_1,1,Reciprocal_top_hit
715,Zeng|2150,Macosko|Ex_Dmrta2_Nmu,1,Reciprocal_top_hit
2697,Zeng|24416,Macosko|Ex_Pax8_Sfrp1,1,Reciprocal_top_hit
3332,Zeng|4993,Macosko|Ex_Sall1_Lrrc38_1,1,Reciprocal_top_hit
7217,Zeng|34198,Macosko|Inh_Pax2_Hmcn1,1,Reciprocal_top_hit
2984,Zeng|3071,Macosko|Ex_Pitx2_Zbtb7c_5,1,Reciprocal_top_hit
4801,Zeng|3506,Macosko|Inh_Emx2_Irx4,1,Reciprocal_top_hit
