,Study_ID|Celltype_1,Study_ID|Celltype_2,Mean_AUROC,Match_type
7603,Macosko|Inh_Pax5_Pdpn,Zeng|3350,1.0,Above_0.99
3145,Macosko|Ex_Pou4f1_Gpr151_Col5a3,Zeng|2909,1.0,Above_0.99
76,Zeng|3944,Macosko|CholEx_Phox2a_Npy4r,1.0,Above_0.99
1430,Macosko|Ex_Foxd3_Olig3_1,Zeng|4055,1.0,Above_0.99
7082,Macosko|Inh_Pax2_Agtr1b_3,Zeng|4442,1.0,Above_0.99
989,Zeng|4221,Macosko|Ex_Ebf2_Prokr1_1,1.0,Above_0.99
7286,Macosko|Inh_Pax2_Lama4_3,Zeng|4198,1.0,Above_0.99
8653,Macosko|Inh_Tfap2a_Chrdl2_2,Zeng|4146,1.0,Above_0.99
116,Macosko|Chol_Ecel1_Nid1,Zeng|570,1.0,Above_0.99
7502,Macosko|Inh_Pax3_Vmn1r207_10,Zeng|2989,1.0,Above_0.99
7357,Macosko|Inh_Pax2_Pkhd1l1_5,Zeng|4031,1.0,Above_0.99
21,Macosko|CholEx_Fbxl7_Defa24,Zeng|4050,1.0,Reciprocal_top_hit
158,Macosko|Chol_Tbx20_Has2,Zeng|3879,1.0,Above_0.99
7188,Macosko|Inh_Pax2_Fst_2,Zeng|3989,1.0,Above_0.99
5995,Macosko|Inh_Hoxc4_Abcc9_1,Zeng|4390,1.0,Reciprocal_top_hit
2179,Macosko|Ex_Lmx1b_Cd36_1,Zeng|2788,1.0,Above_0.99
6384,Macosko|Inh_Lhx6_Mc3r_2,Zeng|581,1.0,Above_0.99
9018,Macosko|Ser_Fev_Wfdc12,Zeng|2847,1.0,Above_0.99
8929,Macosko|NorEx_Phox2b_Tmem45a2_1,Zeng|3968,1.0,Reciprocal_top_hit
6115,Macosko|Inh_Irx5_Tafa4_2,Zeng|2951,1.0,Above_0.99
8924,Macosko|NorEx_Phox2b_Ppara_1,Zeng|3971,1.0,Reciprocal_top_hit
2819,Macosko|Ex_Phox2b_Hhip_1,Zeng|3942,1.0,Reciprocal_top_hit
8996,Macosko|Ser_Fev_Oas1e,Zeng|2836,1.0,Above_0.99
7649,Macosko|Inh_Pax5_Tmem176b_2,Zeng|3438,1.0,Above_0.99
4953,Macosko|Inh_Foxp2_Ntrk1_1,Zeng|3745,1.0,Above_0.99
8978,Macosko|SerEx_Fev_Crhr2_2,Zeng|2850,1.0,Above_0.99
2251,Macosko|Ex_Lmx1b_Pou4f1_Arsj_1,Zeng|4227,1.0,Above_0.99
953,Macosko|Ex_Ebf2_Nmu_3,Zeng|4328,1.0,Above_0.99
2783,Macosko|Ex_Phox2b_Dbh_4,Zeng|3952,1.0,Above_0.99
8914,Macosko|NorEx_Phox2b_Gfral_3,Zeng|3965,1.0,Above_0.99
