cluster	class	subclass	level1_anno	level2_anno	dataset
Zeng|466	IT-ET Glut	MEA Slc17a7 Glut	Neuron	ExN	Zeng
Zeng|480	IT-ET Glut	MEA Slc17a7 Glut	Neuron	ExN	Zeng
Zeng|486	IT-ET Glut	MEA Slc17a7 Glut	Neuron	ExN	Zeng
Zeng|1128	IT-ET Glut	MEA Slc17a7 Glut	Neuron	ExN	Zeng
Zeng|484	IT-ET Glut	MEA Slc17a7 Glut	Neuron	ExN	Zeng
Zeng|485	IT-ET Glut	MEA Slc17a7 Glut	Neuron	ExN	Zeng
Zeng|2548	IT-ET Glut	MEA Slc17a7 Glut	Neuron	ExN	Zeng
Zeng|2561	IT-ET Glut	MEA Slc17a7 Glut	Neuron	ExN	Zeng
Zeng|259	IT-ET Glut	MEA Slc17a7 Glut	Neuron	ExN	Zeng
Zeng|488	IT-ET Glut	MEA Slc17a7 Glut	Neuron	ExN	Zeng
Zeng|161	IT-ET Glut	MEA Slc17a7 Glut	Neuron	ExN	Zeng
Zeng|483	IT-ET Glut	MEA Slc17a7 Glut	Neuron	ExN	Zeng
Zeng|487	IT-ET Glut	MEA Slc17a7 Glut	Neuron	ExN	Zeng
Zeng|461	IT-ET Glut	MEA Slc17a7 Glut	Neuron	ExN	Zeng
Zeng|463	IT-ET Glut	MEA Slc17a7 Glut	Neuron	ExN	Zeng
Zeng|256	IT-ET Glut	COAp Grxcr2 Glut	Neuron	ExN	Zeng
Zeng|452	IT-ET Glut	COAp Grxcr2 Glut	Neuron	ExN	Zeng
Zeng|257	IT-ET Glut	COAp Grxcr2 Glut	Neuron	ExN	Zeng
Zeng|460	IT-ET Glut	COAp Grxcr2 Glut	Neuron	ExN	Zeng
Zeng|258	IT-ET Glut	COAp Grxcr2 Glut	Neuron	ExN	Zeng
Zeng|451	IT-ET Glut	COAp Grxcr2 Glut	Neuron	ExN	Zeng
Zeng|438	IT-ET Glut	LA-BLA-BMA-PA Glut	Neuron	ExN	Zeng
Zeng|439	IT-ET Glut	LA-BLA-BMA-PA Glut	Neuron	ExN	Zeng
Zeng|440	IT-ET Glut	LA-BLA-BMA-PA Glut	Neuron	ExN	Zeng
Zeng|441	IT-ET Glut	LA-BLA-BMA-PA Glut	Neuron	ExN	Zeng
Zeng|446	IT-ET Glut	LA-BLA-BMA-PA Glut	Neuron	ExN	Zeng
Zeng|447	IT-ET Glut	LA-BLA-BMA-PA Glut	Neuron	ExN	Zeng
Zeng|448	IT-ET Glut	LA-BLA-BMA-PA Glut	Neuron	ExN	Zeng
Zeng|453	IT-ET Glut	LA-BLA-BMA-PA Glut	Neuron	ExN	Zeng
Zeng|442	IT-ET Glut	LA-BLA-BMA-PA Glut	Neuron	ExN	Zeng
Zeng|437	IT-ET Glut	LA-BLA-BMA-PA Glut	Neuron	ExN	Zeng
Zeng|443	IT-ET Glut	LA-BLA-BMA-PA Glut	Neuron	ExN	Zeng
Zeng|444	IT-ET Glut	LA-BLA-BMA-PA Glut	Neuron	ExN	Zeng
Zeng|445	IT-ET Glut	LA-BLA-BMA-PA Glut	Neuron	ExN	Zeng
Zeng|449	IT-ET Glut	LA-BLA-BMA-PA Glut	Neuron	ExN	Zeng
Zeng|450	IT-ET Glut	LA-BLA-BMA-PA Glut	Neuron	ExN	Zeng
Zeng|471	IT-ET Glut	LA-BLA-BMA-PA Glut	Neuron	ExN	Zeng
Zeng|474	IT-ET Glut	LA-BLA-BMA-PA Glut	Neuron	ExN	Zeng
Zeng|475	IT-ET Glut	LA-BLA-BMA-PA Glut	Neuron	ExN	Zeng
Zeng|481	IT-ET Glut	LA-BLA-BMA-PA Glut	Neuron	ExN	Zeng
Zeng|482	IT-ET Glut	LA-BLA-BMA-PA Glut	Neuron	ExN	Zeng
Zeng|472	IT-ET Glut	LA-BLA-BMA-PA Glut	Neuron	ExN	Zeng
Zeng|473	IT-ET Glut	LA-BLA-BMA-PA Glut	Neuron	ExN	Zeng
Zeng|465	IT-ET Glut	LA-BLA-BMA-PA Glut	Neuron	ExN	Zeng
Zeng|478	IT-ET Glut	LA-BLA-BMA-PA Glut	Neuron	ExN	Zeng
Zeng|467	IT-ET Glut	LA-BLA-BMA-PA Glut	Neuron	ExN	Zeng
Zeng|476	IT-ET Glut	LA-BLA-BMA-PA Glut	Neuron	ExN	Zeng
Zeng|477	IT-ET Glut	LA-BLA-BMA-PA Glut	Neuron	ExN	Zeng
Zeng|479	IT-ET Glut	LA-BLA-BMA-PA Glut	Neuron	ExN	Zeng
Zeng|468	IT-ET Glut	LA-BLA-BMA-PA Glut	Neuron	ExN	Zeng
Zeng|469	IT-ET Glut	LA-BLA-BMA-PA Glut	Neuron	ExN	Zeng
Zeng|470	IT-ET Glut	LA-BLA-BMA-PA Glut	Neuron	ExN	Zeng
Zeng|324	IT-ET Glut	ENTmv-PA-COAp Glut	Neuron	ExN	Zeng
Zeng|366	IT-ET Glut	ENTmv-PA-COAp Glut	Neuron	ExN	Zeng
Zeng|347	IT-ET Glut	ENTmv-PA-COAp Glut	Neuron	ExN	Zeng
Zeng|325	IT-ET Glut	ENTmv-PA-COAp Glut	Neuron	ExN	Zeng
Zeng|308	IT-ET Glut	ENTmv-PA-COAp Glut	Neuron	ExN	Zeng
Zeng|322	IT-ET Glut	ENTmv-PA-COAp Glut	Neuron	ExN	Zeng
Zeng|323	IT-ET Glut	ENTmv-PA-COAp Glut	Neuron	ExN	Zeng
Zeng|321	IT-ET Glut	ENTmv-PA-COAp Glut	Neuron	ExN	Zeng
Zeng|320	IT-ET Glut	ENTmv-PA-COAp Glut	Neuron	ExN	Zeng
Zeng|327	IT-ET Glut	CA1-ProS Glut	Neuron	ExN	Zeng
Zeng|328	IT-ET Glut	CA1-ProS Glut	Neuron	ExN	Zeng
Zeng|329	IT-ET Glut	CA1-ProS Glut	Neuron	ExN	Zeng
Zeng|330	IT-ET Glut	CA1-ProS Glut	Neuron	ExN	Zeng
Zeng|331	IT-ET Glut	CA1-ProS Glut	Neuron	ExN	Zeng
Zeng|342	IT-ET Glut	CA1-ProS Glut	Neuron	ExN	Zeng
Zeng|344	IT-ET Glut	CA1-ProS Glut	Neuron	ExN	Zeng
Zeng|356	IT-ET Glut	CA1-ProS Glut	Neuron	ExN	Zeng
Zeng|358	IT-ET Glut	CA1-ProS Glut	Neuron	ExN	Zeng
Zeng|359	IT-ET Glut	CA1-ProS Glut	Neuron	ExN	Zeng
Zeng|346	IT-ET Glut	CA1-ProS Glut	Neuron	ExN	Zeng
Zeng|348	IT-ET Glut	CA1-ProS Glut	Neuron	ExN	Zeng
Zeng|352	IT-ET Glut	CA1-ProS Glut	Neuron	ExN	Zeng
Zeng|353	IT-ET Glut	CA1-ProS Glut	Neuron	ExN	Zeng
Zeng|361	IT-ET Glut	CA1-ProS Glut	Neuron	ExN	Zeng
Zeng|367	IT-ET Glut	CA1-ProS Glut	Neuron	ExN	Zeng
Zeng|370	IT-ET Glut	CA1-ProS Glut	Neuron	ExN	Zeng
Zeng|332	IT-ET Glut	CA1-ProS Glut	Neuron	ExN	Zeng
Zeng|345	IT-ET Glut	CA1-ProS Glut	Neuron	ExN	Zeng
Zeng|349	IT-ET Glut	CA1-ProS Glut	Neuron	ExN	Zeng
Zeng|364	IT-ET Glut	CA1-ProS Glut	Neuron	ExN	Zeng
Zeng|368	IT-ET Glut	CA1-ProS Glut	Neuron	ExN	Zeng
Zeng|369	IT-ET Glut	CA1-ProS Glut	Neuron	ExN	Zeng
Zeng|350	IT-ET Glut	CA1-ProS Glut	Neuron	ExN	Zeng
Zeng|351	IT-ET Glut	CA1-ProS Glut	Neuron	ExN	Zeng
Zeng|354	IT-ET Glut	CA1-ProS Glut	Neuron	ExN	Zeng
Zeng|360	IT-ET Glut	CA1-ProS Glut	Neuron	ExN	Zeng
Zeng|362	IT-ET Glut	CA1-ProS Glut	Neuron	ExN	Zeng
Zeng|343	IT-ET Glut	CA1-ProS Glut	Neuron	ExN	Zeng
Zeng|355	IT-ET Glut	CA1-ProS Glut	Neuron	ExN	Zeng
Zeng|357	IT-ET Glut	CA1-ProS Glut	Neuron	ExN	Zeng
Zeng|363	IT-ET Glut	CA1-ProS Glut	Neuron	ExN	Zeng
Zeng|318	IT-ET Glut	CA1-ProS Glut	Neuron	ExN	Zeng
Zeng|319	IT-ET Glut	CA1-ProS Glut	Neuron	ExN	Zeng
Zeng|376	IT-ET Glut	CA1-ProS Glut	Neuron	ExN	Zeng
Zeng|422	IT-ET Glut	CA3 Glut	Neuron	ExN	Zeng
Zeng|428	IT-ET Glut	CA3 Glut	Neuron	ExN	Zeng
Zeng|429	IT-ET Glut	CA3 Glut	Neuron	ExN	Zeng
Zeng|430	IT-ET Glut	CA3 Glut	Neuron	ExN	Zeng
Zeng|431	IT-ET Glut	CA3 Glut	Neuron	ExN	Zeng
Zeng|435	IT-ET Glut	CA3 Glut	Neuron	ExN	Zeng
Zeng|414	IT-ET Glut	CA3 Glut	Neuron	ExN	Zeng
Zeng|415	IT-ET Glut	CA3 Glut	Neuron	ExN	Zeng
Zeng|426	IT-ET Glut	CA3 Glut	Neuron	ExN	Zeng
Zeng|427	IT-ET Glut	CA3 Glut	Neuron	ExN	Zeng
Zeng|436	IT-ET Glut	CA3 Glut	Neuron	ExN	Zeng
Zeng|424	IT-ET Glut	CA3 Glut	Neuron	ExN	Zeng
Zeng|425	IT-ET Glut	CA3 Glut	Neuron	ExN	Zeng
Zeng|432	IT-ET Glut	CA3 Glut	Neuron	ExN	Zeng
Zeng|434	IT-ET Glut	CA3 Glut	Neuron	ExN	Zeng
Zeng|416	IT-ET Glut	CA3 Glut	Neuron	ExN	Zeng
Zeng|423	IT-ET Glut	CA3 Glut	Neuron	ExN	Zeng
Zeng|419	IT-ET Glut	CA3 Glut	Neuron	ExN	Zeng
Zeng|420	IT-ET Glut	CA3 Glut	Neuron	ExN	Zeng
Zeng|421	IT-ET Glut	CA3 Glut	Neuron	ExN	Zeng
Zeng|417	IT-ET Glut	CA3 Glut	Neuron	ExN	Zeng
